,ppm,hm,sensor,GR
0,0,As,arsR,0.2994162533248211
1,0.001,As,arsR,0.2842996532468804
2,0.002,As,arsR,0.2863111130523089
3,0.004,As,arsR,0.27595426928254657
4,0.008,As,arsR,0.27544966013763605
5,0.02,As,arsR,0.26777202176680365
6,0.03,As,arsR,0.26309006837526777
7,0.06,As,arsR,0.26536542245648564
8,0.1,As,arsR,0.3350971380582887
9,0.25,As,arsR,0.2933293388825209
10,0.5,As,arsR,0.30845648428658173
11,1,As,arsR,0.3037665469959219
12,2,As,arsR,0.30788163249126804
13,5,As,arsR,0.32006732066377164
14,0.001,Hg,merR,0.12837033482621976
15,0.002,Hg,merR,0.12622475268498515
16,0.004,Hg,merR,0.12180805268195852
17,0.006,Hg,merR,0.13389851897539537
18,0.01,Hg,merR,0.13007277424826313
19,0.02,Hg,merR,0.11872067822112833
20,0.04,Hg,merR,0.1207744229016904
21,0.06,Hg,merR,0.1376751570797055
22,0.1,Hg,merR,0.1347578452550924
23,0.2,Hg,merR,0.057359436
24,0.4,Hg,merR,0.058119622813981434
25,0.6,Hg,merR,0.049876965
26,0.01,Cd,cadC,0.3075082773217622
27,0.02,Cd,cadC,0.27590480156531016
28,0.03,Cd,cadC,0.2225404260930296
29,0.04,Cd,cadC,0.2730100560240618
30,0.06,Cd,cadC,0.2745302574052153
31,0.1,Cd,cadC,0.27436772935701914
32,0.2,Cd,cadC,0.2810531887721623
33,0.3,Cd,cadC,0.27667483658856007
34,0.4,Cd,cadC,0.26965634754991724
35,0.6,Cd,cadC,0.26990488230141774
36,1,Cd,cadC,0.30748085622986737
37,2,Cd,cadC,0.09150435
38,5,Cd,cadC,-0.001351767
39,0.001,Cd,zntA,0.16543065623401246
40,0.002,Cd,zntA,0.17472955709341803
41,0.004,Cd,zntA,0.17168578861840536
42,0.008,Cd,zntA,0.16863957563943752
43,0.02,Cd,zntA,0.1734265456874981
44,0.03,Cd,zntA,0.17657356367747884
45,0.06,Cd,zntA,0.1928210747148104
46,0.1,Cd,zntA,0.1808420184390618
47,0.25,Cd,zntA,0.19790863806330306
48,0.5,Cd,zntA,0.1882918810749078
49,1,Cd,zntA,0.20301190337292033
50,2,Cd,zntA,0.171011023
51,0.01,Pb,zntA,0.19706743624569753
52,0.02,Pb,zntA,0.19178149898312602
53,0.03,Pb,zntA,0.19102382338232657
54,0.04,Pb,zntA,0.1934158442450533
55,0.07,Pb,zntA,0.18811122580194928
56,0.1,Pb,zntA,0.17596812361489303
57,0.2,Pb,zntA,0.16471689914533472
58,0.3,Pb,zntA,0.1680349456236077
59,0.4,Pb,zntA,0.16985427833121342
60,0.6,Pb,zntA,0.1714083280501838
61,1,Pb,zntA,0.18704291468899348
62,2,Pb,zntA,0.13319196300662223
63,0.01,Cu,cusC,0.14808572947392484
64,0.02,Cu,cusC,0.13548399810844858
65,0.03,Cu,cusC,0.15471424944783163
66,0.04,Cu,cusC,0.17281095458425558
67,0.06,Cu,cusC,0.17013774531070217
68,0.1,Cu,cusC,0.1929302230903478
69,0.2,Cu,cusC,0.18134730871166116
70,0.3,Cu,cusC,0.15368877856643923
71,0.4,Cu,cusC,0.17405088502792976
72,0.6,Cu,cusC,0.15680036798133737
73,1,Cu,cusC,0.15412648744557728
74,2,Cu,cusC,0.10940485483428122
75,10,Cu,cusC,-0.0018749
76,50,Cu,cusC,-0.003029094
77,100,Cu,cusC,-0.014641789
78,0.01,Pb,zraP,0.15819285439651898
79,0.02,Pb,zraP,0.14327978170937158
80,0.03,Pb,zraP,0.1301803945074013
81,0.04,Pb,zraP,0.1390430798380783
82,0.06,Pb,zraP,0.13518222282520498
83,0.1,Pb,zraP,0.13826666022398848
84,0.2,Pb,zraP,0.14269697735699935
85,0.3,Pb,zraP,0.1374565706012071
86,0.4,Pb,zraP,0.1384483249060342
87,0.6,Pb,zraP,0.13953500404664088
88,1,Pb,zraP,0.13490774093805613
89,2,Pb,zraP,0.15590724874840506
