,ppm,hm,sensor,strain,max
0,0.01,Cu,cusC,MG,1.4047134378852606
1,0.01,Cu,cusC,MG,1.7121836406933602
2,0.01,Cu,cusC,MG,1.531580808080808
3,0.02,Cu,cusC,MG,1.5188818384496656
4,0.02,Cu,cusC,MG,1.6796776099248885
5,0.02,Cu,cusC,MG,1.5508521165475537
6,0.03,Cu,cusC,MG,1.4455287604391478
7,0.03,Cu,cusC,MG,1.776910264418072
8,0.03,Cu,cusC,MG,1.5089761196684222
9,0.04,Cu,cusC,MG,0.8377624677004586
10,0.04,Cu,cusC,MG,0.9844214948363381
11,0.04,Cu,cusC,MG,1.493133115245493
12,0.06,Cu,cusC,MG,1.563795020008893
13,0.06,Cu,cusC,MG,1.8749494511130618
14,0.06,Cu,cusC,MG,1.4952523738130934
15,0.1,Cu,cusC,MG,3.2710778758196395
16,0.1,Cu,cusC,MG,2.1385188581909893
17,0.1,Cu,cusC,MG,1.8334956794972506
18,0.2,Cu,cusC,MG,2.9101124928801974
19,0.2,Cu,cusC,MG,2.8898579265719513
20,0.2,Cu,cusC,MG,2.531887969360673
21,0.3,Cu,cusC,MG,4.843162393162393
22,0.3,Cu,cusC,MG,4.3388356438399045
23,0.3,Cu,cusC,MG,3.9135834189791034
24,0.4,Cu,cusC,MG,5.134745052802153
25,0.4,Cu,cusC,MG,5.606279558591697
26,0.4,Cu,cusC,MG,5.118869718788208
27,0.6,Cu,cusC,MG,7.200370421817845
28,0.6,Cu,cusC,MG,6.919366125446218
29,0.6,Cu,cusC,MG,6.534349165180743
30,1,Cu,cusC,MG,13.69486133843778
31,1,Cu,cusC,MG,13.754588553115978
32,1,Cu,cusC,MG,11.707923738379131
33,2,Cu,cusC,MG,18.865215865215866
34,2,Cu,cusC,MG,18.24416085129352
35,2,Cu,cusC,MG,20.373599240265907
36,0.001,Cd,zntA,MG,1.8510344827586205
37,0.001,Cd,zntA,MG,1.752841772536624
38,0.001,Cd,zntA,MG,1.9404249771868074
39,0.002,Cd,zntA,MG,1.835769475615693
40,0.002,Cd,zntA,MG,1.7942913157467342
41,0.002,Cd,zntA,MG,2.100220137457924
42,0.004,Cd,zntA,MG,2.622361684558216
43,0.004,Cd,zntA,MG,2.4192114549402826
44,0.004,Cd,zntA,MG,2.20770226
45,0.008,Cd,zntA,MG,3.2724518843208386
46,0.008,Cd,zntA,MG,3.579290537918187
47,0.008,Cd,zntA,MG,3.4210148968374092
48,0.02,Cd,zntA,MG,4.7439649919680935
49,0.02,Cd,zntA,MG,5.392048929663608
50,0.02,Cd,zntA,MG,5.326063170621127
51,0.03,Cd,zntA,MG,5.508587810684209
52,0.03,Cd,zntA,MG,6.125740036096518
53,0.03,Cd,zntA,MG,6.230180873
54,0.06,Cd,zntA,MG,6.349040471214137
55,0.06,Cd,zntA,MG,6.747815126
56,0.06,Cd,zntA,MG,5.539971436732363
57,0.1,Cd,zntA,MG,8.305815892
58,0.1,Cd,zntA,MG,7.855389074929519
59,0.1,Cd,zntA,MG,8.463103966911072
60,0.25,Cd,zntA,MG,7.5170503425932145
61,0.25,Cd,zntA,MG,7.041841369671558
62,0.25,Cd,zntA,MG,6.827672567
63,0.5,Cd,zntA,MG,6.263654537356412
64,0.5,Cd,zntA,MG,6.649864286403965
65,0.5,Cd,zntA,MG,7.4799999999999995
66,1,Cd,zntA,MG,5.054992424985559
67,1,Cd,zntA,MG,6.212513397642016
68,1,Cd,zntA,MG,5.413834723335213
69,2,Cd,zntA,MG,3.854619694236065
70,2,Cd,zntA,MG,4.293311579213161
71,2,Cd,zntA,MG,5.869946911386304
72,0.001,Hg,merR,MG,1.4283266917433244
73,0.001,Hg,merR,MG,1.0369205220564155
74,0.001,Hg,merR,MG,1.5066194048305994
75,0.002,Hg,merR,MG,1.5459506950494015
76,0.002,Hg,merR,MG,1.0722333368432135
77,0.002,Hg,merR,MG,1.3726882430647294
78,0.004,Hg,merR,MG,1.636937809593561
79,0.004,Hg,merR,MG,0.921973771
80,0.004,Hg,merR,MG,1.1206495440163782
81,0.006,Hg,merR,MG,1.242047493403694
82,0.006,Hg,merR,MG,1.3925996874527398
83,0.006,Hg,merR,MG,1.3994481049726866
84,0.01,Hg,merR,MG,2.201178696945121
85,0.01,Hg,merR,MG,2.236023940766614
86,0.01,Hg,merR,MG,2.205142351
87,0.02,Hg,merR,MG,6.016378954810581
88,0.02,Hg,merR,MG,5.388562300732723
89,0.02,Hg,merR,MG,5.835605257708097
90,0.04,Hg,merR,MG,10.729304691159742
91,0.04,Hg,merR,MG,11.402995867768595
92,0.04,Hg,merR,MG,9.113893834487307
93,0.06,Hg,merR,MG,18.51592595038412
94,0.06,Hg,merR,MG,14.853087324318922
95,0.06,Hg,merR,MG,14.68762251124946
96,0.1,Hg,merR,MG,21.32149337132807
97,0.1,Hg,merR,MG,14.41391871
98,0.1,Hg,merR,MG,20.727370256135174
99,0.2,Hg,merR,MG,4.303377189722243
100,0.2,Hg,merR,MG,0.6505457159662767
101,0.2,Hg,merR,MG,4.6360346529224685
102,0.4,Hg,merR,MG,1.1133308782912907
103,0.4,Hg,merR,MG,1.2121646528773293
104,0.4,Hg,merR,MG,0.8056875429356538
105,0.6,Hg,merR,MG,0.5531891043604977
106,0.6,Hg,merR,MG,0.6086631404158923
107,0.6,Hg,merR,MG,0.5216876516114127
108,0,0,0,MG,1.5175961232920243
109,0,0,0,MG,1.5887940646710694
110,0,0,0,MG,1.4232708727293564
111,0.01,Pb,zraP,MG,2.052294755066393
112,0.01,Pb,zraP,MG,1.8783465229836676
113,0.01,Pb,zraP,MG,2.3313706609417677
