positions,sensor,condition,hm
A1,arsR,0,As
A2,arsR,0,As
A3,arsR,0,As
A7,arsR,0.1,As
A8,arsR,0.1,As
A9,arsR,0.1,As
B1,arsR,0.001,As
B2,arsR,0.001,As
B3,arsR,0.001,As
B7,arsR,0.25,As
B8,arsR,0.25,As
B9,arsR,0.25,As
C1,arsR,0.002,As
C2,arsR,0.002,As
C3,arsR,0.002,As
C7,arsR,0.5,As
C8,arsR,0.5,As
C9,arsR,0.5,As
D1,arsR,0.004,As
D2,arsR,0.004,As
D3,arsR,0.004,As
D7,arsR,1,As
D8,arsR,1,As
D9,arsR,1,As
E1,arsR,0.008,As
E2,arsR,0.008,As
E3,arsR,0.008,As
E7,arsR,2,As
E8,arsR,2,As
E9,arsR,2,As
F1,arsR,0.02,As
F2,arsR,0.02,As
F3,arsR,0.02,As
F7,arsR,5,As
F8,arsR,5,As
F9,arsR,5,As
G1,arsR,0.03,As
G2,arsR,0.03,As
G3,arsR,0.03,As
H1,arsR,0.06,As
H2,arsR,0.06,As
H3,arsR,0.06,As
