positions,condition,sensor,hm,,,,
A1,0.01,cadC,Cd,,,,
A2,0.02,cadC,Cd,,,,
A3,0.03,cadC,Cd,,,,
A4,0.04,cadC,Cd,,,,
A5,0.06,cadC,Cd,,,,
A6,0.1,cadC,Cd,,,,
A7,0.2,cadC,Cd,,,,
A8,0.3,cadC,Cd,,,,
A9,0.4,cadC,Cd,,,,
A10,0.6,cadC,Cd,,,,
A11,1,cadC,Cd,,,,
A12,2,cadC,Cd,,,,
B1,0.01,cadC,Cd,,,,
B2,0.02,cadC,Cd,,,,
B3,0.03,cadC,Cd,,,,
B4,0.04,cadC,Cd,,,,
B5,0.06,cadC,Cd,,,,
B6,0.1,cadC,Cd,,,,
B7,0.2,cadC,Cd,,,,
B8,0.3,cadC,Cd,,,,
B9,0.4,cadC,Cd,,,,
B10,0.6,cadC,Cd,,,,
B11,1,cadC,Cd,,,,
B12,2,cadC,Cd,,,,
C1,0.01,cadC,Cd,,,,
C2,0.02,cadC,Cd,,,,
C3,0.03,cadC,Cd,,,,
C4,0.04,cadC,Cd,,,,
C5,0.06,cadC,Cd,,,,
C6,0.1,cadC,Cd,,,,
C7,0.2,cadC,Cd,,,,
C8,0.3,cadC,Cd,,,,
C9,0.4,cadC,Cd,,,,
C10,0.6,cadC,Cd,,,,
C11,1,cadC,Cd,,,,
C12,2,cadC,Cd,,,,
