,0.0,0.10695333333333333,0.21389916666666667,0.3208491666666667,0.42779083333333334,0.5347366666666666,0.6416822222222223,0.7486283333333333,0.8555744444444445,0.9625247222222222,1.069466111111111,1.1764119444444443,1.2833619444444444,1.3903080555555556,1.4972583333333334,1.6042041666666667,1.7111500000000002,1.8180961111111111,1.9250416666666665,2.0319877777777777,2.1389336111111112,2.2458794444444443,2.352829444444444,2.459775277777778,2.5667211111111112,2.673667222222222,2.780612777777778,2.8875588888888886,2.9945047222222225,3.1014505555555556,3.208396388888889,3.315342222222222,3.4222925,3.5292424999999996,3.6361886111111112,3.7431341666666667,3.850080277777778,3.9570255555555556,4.063971944444445,4.170921944444444,4.2778675,4.384813611111111,4.491759444444445,4.5987052777777775,4.705651111111111,4.812597222222222,4.919547222222222,5.026493333333334,5.133439166666667,5.240388888888889,5.347335277777778,5.454280833333334,5.561226666666667,5.6681725,5.775118055555556,5.882068611111111,5.989023333333334,6.095964722222223,6.202914722222221,6.309860555555556,6.4168111111111115,6.523752222222223,6.630698333333333,6.737652777777778,6.844594166666667,6.951540277777777,7.058486111111111,7.165431666666667,7.2723775,7.379326666666667,7.486269444444444,7.593215277777778,7.700161111111112,7.8071069444444445,7.914053055555556,8.02099888888889,8.127944444444443,8.234890277777778,8.341836111111112,8.44878638888889,8.5557325,8.662678055555556,8.769624166666667,8.87657,8.983520555555556,9.090465833333333,9.19741611111111,9.304361944444445,9.411307777777777,9.518253611111112,9.625199444444444,9.732145555555556,9.839095833333333,9.94604138888889,10.052987499999999,10.159933333333333,10.266879166666666,10.373829166666667,10.480775,10.587720833333332,10.694671111111111,10.801616944444445,10.908562777777778,11.01550861111111,11.122458888888888,11.229404722222224,11.336350277777777,11.443296111111112,11.550242222222224,11.657188055555556,11.764133611111111,11.871079722222223,11.978025555555556,12.084971666666666,12.191921666666666,12.298871944444445,12.4058175,12.512763611111112,12.619706111111112,12.726656111111112,12.833601944444444,12.940551944444445,13.047498055555556,13.154443888888888,13.261389722222221,13.368335555555555,13.475281388888888,13.582231666666667,13.6891775,13.796123333333334,13.903069166666667,14.010015,14.116965,14.22391111111111,14.330856944444443,14.437802777777776,14.544748611111112,14.651694444444445,14.75864027777778,14.865586666666667,14.972536388888889,15.079486666666668,15.1864325,15.293378333333333,15.400324166666667,15.507274444444445,15.614220277777777,15.72116611111111,15.828111944444444,15.935057500000001,16.04200777777778,16.148957777777778,16.255903888888888,16.362849722222222,16.469795555555557,16.576745833333334,16.683691666666668,16.7906375,16.89758361111111,17.004536666666667,17.11147972222222,17.218425555555555,17.32537111111111,17.432316944444445,17.539263055555555,17.646213333333336,17.753159166666666,17.860105,17.967055000000002,18.074000833333333
A1,0.086,0.0858,0.0857,0.0857,0.0856,0.0857,0.0856,0.0857,0.0858,0.0858,0.0858,0.0859,0.0859,0.086,0.086,0.086,0.0861,0.0861,0.0862,0.0863,0.0863,0.0864,0.0864,0.0865,0.0865,0.0866,0.0867,0.0867,0.0868,0.0868,0.087,0.087,0.0871,0.0872,0.0873,0.0874,0.0874,0.0875,0.0876,0.0877,0.0878,0.0879,0.0879,0.0881,0.0881,0.0882,0.0884,0.0885,0.0886,0.0887,0.0889,0.0889,0.0892,0.0893,0.0895,0.0896,0.0898,0.09,0.0902,0.0904,0.0906,0.0908,0.091,0.0913,0.0916,0.0918,0.0921,0.0924,0.0927,0.0931,0.0934,0.0938,0.0941,0.0946,0.0949,0.0954,0.0959,0.0963,0.0968,0.0974,0.0979,0.0986,0.0992,0.0998,0.1006,0.1014,0.1022,0.1029,0.1038,0.1048,0.1057,0.1067,0.108,0.1089,0.1101,0.1114,0.1127,0.1143,0.116,0.1176,0.1193,0.1213,0.1255,0.1263,0.1341,0.1328,0.138,0.1447,0.1481,0.1514,0.1549,0.1584,0.1628,0.1676,0.1714,0.174,0.1778,0.1805,0.1852,0.188,0.192,0.1975,0.2015,0.2063,0.2147,0.2217,0.2297,0.2377,0.246,0.2578,0.2771,0.2857,0.2957,0.3095,0.3354,0.3535,0.3642,0.3737,0.3838,0.3939,0.4049,0.4154,0.426,0.4345,0.4443,0.4533,0.462,0.47,0.477,0.4831,0.4889,0.4929,0.4975,0.5011,0.5043,0.5058,0.5085,0.5097,0.5105,0.5109,0.5122,0.5128,0.5127,0.5127,0.5124,0.5122,0.5123,0.5118,0.5121,0.5112
A2,0.0857,0.0857,0.0856,0.0856,0.0855,0.0855,0.0855,0.0856,0.0856,0.0856,0.0856,0.0857,0.0856,0.0857,0.0857,0.0857,0.0858,0.0859,0.086,0.0859,0.086,0.0861,0.0861,0.0862,0.0862,0.0863,0.0863,0.0864,0.0864,0.0865,0.0866,0.0866,0.0868,0.0869,0.087,0.087,0.0871,0.0872,0.0873,0.0874,0.0875,0.0875,0.0877,0.0877,0.0879,0.088,0.0881,0.0882,0.0883,0.0885,0.0886,0.0888,0.089,0.0892,0.0894,0.0895,0.0897,0.0899,0.09,0.0904,0.0906,0.0908,0.091,0.0913,0.0916,0.0917,0.0921,0.0925,0.0928,0.0932,0.0936,0.094,0.0944,0.0948,0.0953,0.0958,0.0962,0.0968,0.0973,0.098,0.0986,0.0993,0.1,0.1007,0.1015,0.1023,0.1032,0.1042,0.1052,0.1068,0.1075,0.1086,0.1098,0.1134,0.1165,0.1202,0.1208,0.1256,0.1294,0.1315,0.1334,0.136,0.1383,0.141,0.144,0.147,0.1504,0.1541,0.1583,0.1627,0.1665,0.1696,0.1731,0.1766,0.1799,0.1839,0.1876,0.1925,0.1977,0.2033,0.2104,0.2156,0.223,0.2321,0.2401,0.2556,0.2781,0.2925,0.3005,0.31,0.3204,0.3311,0.3428,0.3548,0.3651,0.3753,0.3851,0.395,0.4048,0.4144,0.4233,0.432,0.4404,0.4475,0.4531,0.4585,0.4646,0.4691,0.473,0.4753,0.4772,0.4797,0.4808,0.4817,0.4829,0.483,0.4835,0.4837,0.4838,0.483,0.4832,0.4834,0.4818,0.4815,0.4815,0.4799,0.4781,0.4771,0.4755,0.4748
A3,0.0862,0.0861,0.086,0.0858,0.0859,0.0859,0.0859,0.0859,0.0859,0.0859,0.0859,0.086,0.086,0.086,0.086,0.0861,0.0861,0.0861,0.0862,0.0862,0.0862,0.0863,0.0863,0.0864,0.0864,0.0865,0.0865,0.0865,0.0866,0.0867,0.0867,0.0868,0.0869,0.0869,0.087,0.0871,0.0871,0.0872,0.0873,0.0873,0.0874,0.0875,0.0876,0.0876,0.0877,0.0878,0.0879,0.088,0.0881,0.0882,0.0883,0.0884,0.0886,0.0887,0.0888,0.089,0.0891,0.0893,0.0894,0.0896,0.0898,0.09,0.0901,0.0903,0.0906,0.0907,0.091,0.0913,0.0916,0.0919,0.0921,0.0924,0.0928,0.0931,0.0934,0.0939,0.0943,0.0947,0.0951,0.0955,0.0959,0.0964,0.0969,0.0975,0.0981,0.0987,0.0992,0.1,0.1005,0.1014,0.1022,0.1029,0.1039,0.1048,0.1058,0.1068,0.1079,0.1091,0.1104,0.1116,0.1131,0.1173,0.1205,0.1189,0.1229,0.1281,0.1326,0.1353,0.1378,0.1403,0.1432,0.1462,0.1494,0.1532,0.1577,0.1615,0.1645,0.1676,0.1711,0.1744,0.1783,0.1823,0.1858,0.1899,0.1968,0.203,0.2086,0.2153,0.2219,0.2314,0.2513,0.2669,0.2807,0.292,0.3021,0.3128,0.3246,0.3358,0.3459,0.3561,0.3662,0.3758,0.3862,0.3945,0.4029,0.4113,0.4201,0.4265,0.4332,0.4391,0.4443,0.4496,0.4535,0.4573,0.4594,0.4619,0.4631,0.4641,0.4652,0.4659,0.4671,0.4671,0.4665,0.4661,0.4664,0.4667,0.4662,0.4652,0.4649,0.4648
A4,0.0868,0.0876,0.0882,0.0866,0.0867,0.0867,0.0867,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0865,0.0866,0.0866,0.0865,0.0866,0.0866,0.0865,0.0865,0.0866,0.0866,0.0867,0.0867,0.0867,0.0867,0.0867,0.0868,0.0867,0.0867,0.0883,0.0883,0.0893,0.0888,0.088,0.0893,0.088,0.0877,0.0869,0.0881,0.0887,0.0885,0.088,0.089,0.0885,0.0886,0.0876,0.0889,0.0886,0.0882,0.0873,0.089,0.088,0.0886,0.0887,0.0886,0.0885,0.0891,0.0886,0.0888,0.0879,0.0878,0.0886,0.0884,0.0883,0.0876,0.0884,0.0868,0.0885,0.0885,0.0876,0.0884,0.0876,0.0873,0.0878,0.0872,0.0876,0.0884,0.0874,0.0882,0.0886,0.0879,0.0886,0.089,0.0886,0.0886,0.0884,0.0864,0.0868,0.0882,0.0876,0.0881,0.0873,0.0886,0.0876,0.088,0.0871,0.0874,0.0875,0.0887,0.0869,0.0867,0.0883,0.0891,0.0889,0.0883,0.0871,0.0882,0.0878,0.0882,0.0873,0.0879,0.0881,0.0874,0.0882,0.0882,0.0881,0.0886,0.0876,0.0877,0.0884,0.0881,0.0862,0.0882,0.0872,0.0873,0.0878,0.0875,0.0874,0.0885,0.0878,0.0876,0.0881,0.0873,0.0869,0.0864,0.0868,0.0885,0.0887,0.0881,0.0863,0.0875,0.0884,0.0872,0.0868,0.0882,0.0867,0.0874,0.0866,0.0874,0.0869,0.0865,0.0883,0.0868,0.0873,0.0878,0.0875,0.088,0.0886,0.0879,0.089,0.0872
A5,0.0874,0.0896,0.0903,0.0895,0.0897,0.0878,0.0884,0.0883,0.0889,0.0883,0.0889,0.0884,0.0902,0.0875,0.0887,0.0894,0.0881,0.0897,0.0897,0.0889,0.0889,0.0888,0.0889,0.0891,0.0902,0.0905,0.0883,0.0897,0.0879,0.089,0.0909,0.0906,0.0883,0.0882,0.0877,0.0893,0.0885,0.0892,0.0889,0.0889,0.089,0.0887,0.0873,0.0881,0.0878,0.0887,0.0885,0.0895,0.0883,0.09,0.0895,0.0911,0.0909,0.0892,0.087,0.0886,0.0888,0.0882,0.0893,0.0888,0.0879,0.0886,0.0885,0.0899,0.0883,0.0896,0.0896,0.0896,0.0894,0.0894,0.0893,0.0888,0.0897,0.0893,0.0894,0.0898,0.0895,0.0895,0.0901,0.0891,0.0894,0.0896,0.0897,0.0884,0.0893,0.089,0.0899,0.0885,0.0896,0.0885,0.0879,0.0899,0.0896,0.0893,0.0883,0.0888,0.0897,0.0886,0.0886,0.0882,0.0885,0.0892,0.0883,0.0893,0.0886,0.089,0.0891,0.0895,0.0897,0.0893,0.0895,0.0879,0.0894,0.0887,0.0894,0.0892,0.0891,0.0882,0.0889,0.0889,0.0889,0.089,0.0882,0.0898,0.0885,0.0893,0.0882,0.0895,0.0896,0.089,0.0887,0.0893,0.0903,0.0884,0.0893,0.0878,0.0893,0.0886,0.0903,0.0901,0.0903,0.0899,0.0914,0.0902,0.0905,0.09,0.0904,0.0901,0.0901,0.0897,0.0889,0.0895,0.089,0.0902,0.0897,0.0901,0.0894,0.0894,0.0904,0.0905,0.0895,0.0902,0.0902,0.09,0.0899,0.089,0.0895,0.0908,0.0886,0.09
A6,0.0897,0.0909,0.0903,0.0908,0.0908,0.0911,0.0904,0.0906,0.091,0.0909,0.0911,0.0911,0.0903,0.0909,0.0904,0.0909,0.0909,0.0911,0.0912,0.0911,0.0909,0.0911,0.0911,0.0912,0.0902,0.0904,0.0905,0.0905,0.0912,0.0909,0.0903,0.0907,0.0914,0.0911,0.0908,0.0907,0.091,0.0907,0.0906,0.0905,0.0912,0.091,0.0907,0.0906,0.0904,0.0912,0.0907,0.0909,0.0904,0.0905,0.0904,0.0907,0.0907,0.0903,0.0908,0.0903,0.091,0.0903,0.0903,0.0902,0.0906,0.0902,0.0902,0.0901,0.0902,0.0907,0.0907,0.0902,0.0911,0.0907,0.091,0.0902,0.0911,0.0913,0.0902,0.0911,0.0907,0.0907,0.0907,0.091,0.0905,0.0917,0.0908,0.09,0.0902,0.0912,0.0907,0.0908,0.0913,0.0906,0.0907,0.091,0.0909,0.0911,0.0911,0.0904,0.0908,0.0907,0.0908,0.0902,0.0904,0.091,0.091,0.0906,0.0912,0.0907,0.0907,0.0903,0.0906,0.0909,0.091,0.0908,0.091,0.0908,0.0907,0.0909,0.0909,0.0903,0.091,0.091,0.0903,0.0911,0.0911,0.0908,0.0908,0.0914,0.0906,0.091,0.0908,0.091,0.0906,0.0907,0.0906,0.0909,0.0908,0.0911,0.0911,0.0908,0.091,0.091,0.0911,0.0905,0.0916,0.0905,0.0914,0.0911,0.0907,0.0911,0.0907,0.091,0.0908,0.0907,0.0906,0.091,0.0906,0.0914,0.0913,0.0914,0.091,0.0916,0.0912,0.0911,0.0913,0.0916,0.0912,0.0914,0.0912,0.0913,0.0918,0.0917
A7,0.093,0.0935,0.0936,0.1017,0.1113,0.1157,0.1207,0.1216,0.1259,0.1254,0.1282,0.1267,0.1251,0.1259,0.1281,0.1279,0.1282,0.1282,0.1282,0.13,0.1315,0.1302,0.1327,0.1307,0.1331,0.1328,0.1323,0.1334,0.1282,0.1317,0.1307,0.1324,0.1327,0.1301,0.1278,0.133,0.13,0.1278,0.1323,0.131,0.1281,0.1292,0.1286,0.1267,0.1288,0.1315,0.1271,0.1292,0.1291,0.1325,0.13,0.132,0.1302,0.1328,0.1314,0.132,0.1322,0.1286,0.1337,0.13,0.1306,0.1304,0.1309,0.1326,0.1338,0.1293,0.1316,0.1308,0.1328,0.1317,0.1328,0.1335,0.1301,0.1317,0.1294,0.1305,0.1336,0.1349,0.1334,0.1342,0.1327,0.1312,0.1341,0.1342,0.1318,0.1333,0.1321,0.1313,0.1325,0.1328,0.1316,0.1318,0.1311,0.1327,0.1349,0.1337,0.1311,0.1316,0.1332,0.1311,0.1308,0.1316,0.132,0.1272,0.1329,0.1309,0.1319,0.1322,0.1298,0.1361,0.1311,0.1348,0.1304,0.1317,0.1317,0.131,0.1331,0.1314,0.1311,0.1331,0.1308,0.1307,0.1298,0.13,0.1367,0.1296,0.1321,0.1312,0.1311,0.131,0.1313,0.1316,0.1347,0.1302,0.1316,0.1319,0.1305,0.1305,0.1244,0.1338,0.1295,0.123,0.1326,0.1288,0.1323,0.1294,0.134,0.1303,0.1298,0.1288,0.1293,0.1282,0.126,0.1367,0.1282,0.128,0.1283,0.1288,0.127,0.1324,0.1243,0.1297,0.1283,0.1272,0.126,0.1305,0.1286,0.1256,0.1305,0.1275
A8,0.0921,0.094,0.102,0.1114,0.114,0.1203,0.1174,0.1239,0.12,0.1239,0.1222,0.1241,0.1219,0.1259,0.1194,0.1207,0.1183,0.1258,0.1205,0.1265,0.1203,0.1245,0.1197,0.125,0.1223,0.1248,0.1289,0.1232,0.1201,0.1284,0.1262,0.1208,0.1213,0.1239,0.1222,0.1293,0.1241,0.1276,0.1246,0.1243,0.1282,0.1306,0.1263,0.125,0.1282,0.1312,0.1226,0.1252,0.123,0.1261,0.1294,0.1242,0.1226,0.1207,0.1222,0.1279,0.1241,0.1241,0.1269,0.1231,0.1264,0.1256,0.1257,0.1235,0.1193,0.1207,0.1199,0.1254,0.1248,0.122,0.1253,0.121,0.1195,0.1202,0.1234,0.1256,0.1231,0.1253,0.1254,0.1234,0.1222,0.1251,0.1231,0.1247,0.1245,0.1294,0.1265,0.1263,0.1248,0.1201,0.1265,0.124,0.1246,0.1282,0.1249,0.1218,0.1247,0.1227,0.1232,0.1285,0.127,0.1274,0.1265,0.1251,0.1243,0.1263,0.1266,0.1287,0.1249,0.1253,0.1314,0.1298,0.1272,0.1268,0.126,0.1257,0.1247,0.126,0.1257,0.1246,0.125,0.1267,0.129,0.1231,0.128,0.1295,0.13,0.1297,0.1257,0.1271,0.1227,0.1281,0.1261,0.1314,0.1227,0.1242,0.123,0.1255,0.1277,0.1231,0.124,0.1259,0.1225,0.1257,0.1254,0.125,0.123,0.1243,0.1236,0.1258,0.1241,0.1261,0.1244,0.1263,0.1256,0.1246,0.125,0.1265,0.1308,0.1269,0.1247,0.1275,0.1268,0.1236,0.1246,0.1265,0.1265,0.1249,0.1291,0.126
A9,0.0925,0.0922,0.1034,0.1051,0.109,0.1114,0.1123,0.1144,0.1153,0.1135,0.1136,0.1166,0.1153,0.1161,0.1169,0.1173,0.1167,0.1169,0.1165,0.1189,0.1176,0.1182,0.1181,0.118,0.1187,0.1189,0.1189,0.1187,0.1189,0.1188,0.1188,0.1188,0.1192,0.1189,0.1192,0.1184,0.1189,0.1195,0.1196,0.1185,0.1193,0.1192,0.1202,0.1197,0.1192,0.1147,0.1168,0.113,0.1122,0.1176,0.1124,0.1133,0.1185,0.1199,0.1207,0.1172,0.1115,0.1139,0.1159,0.1148,0.1178,0.1125,0.1204,0.1125,0.111,0.114,0.1176,0.1165,0.117,0.1135,0.1192,0.1174,0.1206,0.1204,0.1193,0.1209,0.1164,0.1178,0.118,0.1186,0.1201,0.1199,0.1195,0.121,0.1194,0.121,0.1212,0.1203,0.1207,0.1212,0.121,0.1183,0.1184,0.1236,0.1201,0.1244,0.123,0.1208,0.1236,0.1217,0.1213,0.1238,0.1196,0.1245,0.1211,0.1221,0.1226,0.1232,0.1247,0.1233,0.1235,0.1212,0.1202,0.125,0.1237,0.1216,0.1242,0.1209,0.1232,0.1232,0.1229,0.1223,0.1238,0.1236,0.12,0.1258,0.1246,0.1249,0.1218,0.1223,0.1249,0.1236,0.1203,0.1259,0.1262,0.1233,0.1238,0.1233,0.1227,0.1224,0.122,0.1249,0.121,0.1196,0.1238,0.1226,0.1216,0.1255,0.1244,0.126,0.1237,0.1206,0.1211,0.1263,0.1235,0.1199,0.1267,0.1245,0.1266,0.1227,0.1256,0.1257,0.1211,0.122,0.123,0.1268,0.1234,0.122,0.1245,0.1272
