Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
1,2658.988,2650.244,2647.631,2646.333,2512.399,2811.911,2839.744,2860.726,2809.637,2506.893,2508.958,2497.482,2488.512,2479.405,2474.685,2603.4,2613.883,2580.7,2572.65,2442.1,2502.917,2490.264,2506.446,2505.86,2480.769,2542.603,2541.314,2534.686,2541.24,2532.496
2,2662.476,2652.768,2644.881,2638.286,2512.911,2806.935,2842.976,2860.851,2806.167,2499.875,2505.565,2496.506,2488.393,2478.494,2477.155,2608.617,2606,2586.95,2571.083,2440.217,2502.579,2495.132,2503.281,2503.413,2489.736,2550.727,2533.752,2536.107,2533.694,2525.314
3,2661.464,2660.417,2647.053,2638.917,2511.952,2805.512,2843.423,2871.065,2807.768,2498.387,2509.97,2492.423,2490.81,2481.452,2478.899,2601.683,2606.133,2578.817,2573.733,2445.367,2497.463,2493.76,2506.124,2508.446,2485.008,2547.273,2543.752,2530.777,2535.116,2528.182
4,2666.53,2638.857,2646.44,2639.173,2521.815,2808.697,2844.697,2862.143,2816.149,2503.315,2507.613,2501.065,2485.661,2478.161,2478.423,2607.033,2600.05,2579.1,2568.867,2439.567,2500.678,2487.223,2500.207,2507.471,2492.983,2548.19,2535.231,2534.455,2538.066,2524.653
5,2666.732,2640.678,2644.595,2644.506,2515.643,2809.339,2837.738,2863.387,2809.78,2501.256,2508.024,2497.607,2487.018,2477.702,2476.822,2604.4,2603.467,2577.033,2574.25,2447.133,2502.223,2486.587,2501.116,2512.124,2489.752,2548.413,2536.893,2531.248,2536.818,2521.636
6,2665.565,2648.572,2651.083,2647.036,2514.774,2802.923,2841.732,2869.399,2814.161,2500.072,2511.803,2498.774,2489.012,2484.381,2476.78,2603.367,2606.35,2579.533,2571.233,2453.217,2502.826,2491.529,2498.512,2515.388,2488.124,2548.868,2531.868,2532.19,2536.719,2527.223
7,2673.387,2631.798,2647.553,2633.577,2517.583,2802.553,2833.065,2858.595,2819.036,2498.947,2510.476,2501.726,2487.048,2480.988,2471.387,2596.983,2593.05,2580,2565.8,2436.383,2500.95,2488.777,2499,2512.785,2485.587,2542.041,2540.215,2539.727,2534.05,2527.793
8,2673.774,2646.018,2646.173,2636.81,2515.137,2794.458,2833.19,2862.107,2819.131,2508.613,2507.94,2498.488,2486.256,2484.577,2476.75,2601.567,2601.85,2572.633,2584.55,2446.267,2502.719,2490.355,2500.612,2513.967,2488.298,2545.818,2544.694,2536.215,2538.818,2525.165
9,2676.786,2648.452,2645.798,2631.458,2512.226,2791.149,2832.268,2857.185,2824.631,2502.19,2503.369,2494.625,2481.173,2477.78,2479.97,2597.517,2600.383,2579.133,2572.067,2442.3,2500.711,2497.182,2501.727,2508.471,2485.851,2553.223,2539.826,2530.909,2533.264,2524.256
10,2673.56,2653.524,2644.708,2634.928,2514.857,2794.06,2830.315,2853.982,2820.589,2507.613,2510.149,2498.333,2482.553,2481.952,2475.512,2606.6,2599.667,2580.033,2586.717,2444.583,2503.281,2494.083,2500.041,2507.884,2486.76,2543.661,2535.744,2533.537,2531.645,2526.182
