Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
1,2553.018,2596.798,2591.036,2623.339,2388.75,2819.065,2884.744,2806.375,2789.202,2400.935,2452.178,2434.089,2444.464,2456.685,2400.298,2640.417,2621.167,2629.783,2634.267,2408.067,2379.198,2397.165,2438.231,2408.727,2350.355,2402.107,2399.595,2433.066,2445.182,2354.579
2,2552.732,2600.607,2598.387,2630.452,2389.178,2820.393,2878.952,2805.232,2796.393,2396.702,2441.732,2438.053,2440.917,2448.601,2396.637,2643.233,2627.95,2637.083,2645.583,2407.067,2382.711,2394.479,2439.504,2408.405,2351.298,2407.256,2402.496,2437.264,2447.479,2353.289
3,2554.988,2603.536,2594.988,2633.577,2389.25,2823.964,2879.131,2804.107,2802.702,2404.964,2452.226,2437.131,2448.678,2454.292,2397.976,2641.133,2621.517,2638.75,2631.417,2409.333,2374.512,2392.198,2440.793,2407.942,2347.942,2402.231,2400.322,2436.331,2444.587,2353.471
4,2553.893,2606.798,2596.774,2617.155,2386.065,2821.863,2880.988,2798.673,2801.381,2400.649,2446.762,2439.518,2444.935,2453.357,2402.399,2643.183,2626.367,2641.45,2627.2,2404.917,2381.215,2392.149,2437.736,2411.182,2350.521,2401.876,2401.587,2434.331,2443.645,2349.298
5,2558.56,2598.25,2606.798,2640.161,2391.524,2818.881,2876.994,2805.905,2792.286,2401.565,2447.678,2439.5,2448.78,2460.244,2400.185,2642.533,2627.117,2635.417,2626.833,2412.633,2372.132,2395.281,2437.38,2415,2349.215,2400.793,2406.438,2432.975,2441.86,2349.38
6,2557.738,2598.286,2600.095,2636.655,2387.197,2816.899,2878.47,2797.905,2792.786,2403.857,2454.702,2437.756,2447.613,2454.988,2398.381,2641.067,2616.083,2635.567,2634.233,2414.533,2381.074,2392.066,2442.835,2415.744,2350.818,2402.298,2405.802,2438,2440.298,2350.942
7,2555.53,2602.565,2599.792,2645.185,2389.387,2819.357,2876.322,2798.822,2792.143,2403.667,2449.845,2439.22,2446.768,2453.863,2398.208,2646.817,2624.067,2634.9,2629.033,2409.15,2381.612,2394.876,2446.182,2410.835,2350.281,2406.554,2403.942,2431.182,2443.223,2356.785
8,2561.369,2610.97,2596.369,2646.119,2388.137,2823.405,2868.167,2801.167,2799.03,2399.405,2450.149,2441.357,2449.577,2456.792,2396.899,2644.083,2619.4,2643.1,2632.417,2415.367,2380.017,2389.289,2441.909,2410.091,2347.884,2402.769,2400.843,2435.727,2442.504,2350.43
9,2553.036,2608.149,2596.72,2649.423,2386.208,2826.655,2867.572,2799.173,2806.107,2398.083,2450.447,2432.393,2450.47,2455.428,2404.345,2647.75,2627.7,2635.167,2636.083,2414.3,2382.446,2394.752,2434.702,2411.198,2351.636,2404.843,2399.86,2438.612,2444.256,2349.744
10,2555.339,2606.161,2603.928,2653.292,2390.375,2819.643,2873.56,2803.881,2791.303,2402.595,2449.768,2437.357,2454.476,2457.553,2397.637,2653.35,2625.933,2639.683,2627.083,2406.567,2375.289,2389.165,2442.033,2405.851,2351.636,2407.744,2400.893,2434.57,2444.14,2356.421
11,2562.589,2611.202,2605.928,2649.405,2390.333,2818.44,2871.435,2790.548,2798.375,2401.631,2450.601,2434.053,2450.667,2460.697,2395.298,2645.617,2623.95,2628.85,2627.583,2415.117,2380.785,2394.058,2438.992,2411.826,2349.289,2404.843,2395.529,2438.149,2449.917,2351.281
12,2557.738,2610.048,2600.881,2648.744,2386.697,2822.31,2870.958,2797.101,2792.845,2399,2450.685,2440.947,2450.089,2451.25,2394.447,2646.283,2629.133,2626.517,2630.75,2402.15,2379.132,2391.521,2439.43,2408.57,2348.603,2402.934,2401.579,2435.091,2441.207,2350.438
13,2562.572,2610.036,2605.893,2648.917,2387.72,2820.917,2871.542,2797.369,2793.881,2400.738,2453.762,2434.417,2452.315,2458.524,2394.405,2656.667,2625.817,2639.617,2626,2408.833,2379.727,2389.736,2443.397,2410.992,2351.298,2402.587,2397.711,2437.033,2437.595,2353.446
14,2561.464,2609.25,2603.024,2645.923,2387.452,2813.75,2867.286,2799.53,2787.072,2404.238,2453.917,2436.399,2451.125,2457.708,2397.214,2655.083,2619.033,2637.783,2632.4,2405.217,2383.388,2394.273,2441.488,2409.818,2354.595,2405.496,2404.702,2438.479,2439.802,2350.397
15,2560.268,2613.822,2603.786,2647.399,2385.298,2810.863,2871.262,2799.292,2789.786,2398.322,2450.113,2441.792,2451.083,2457.893,2397.173,2654.483,2627.983,2630.517,2632.033,2409.033,2382.107,2389.05,2436.686,2412.917,2348.157,2407.314,2401.909,2439.05,2441.174,2355.802
16,2558.786,2611.982,2605.881,2640.768,2390.405,2813.988,2870.292,2794.667,2786.697,2402.22,2454.339,2435.44,2449.167,2455.613,2393.345,2648.217,2626.2,2641.883,2636.15,2410.833,2379.198,2389.802,2438.017,2408.066,2347.777,2407.917,2398.727,2438.769,2441.116,2351.339
17,2561.036,2614.28,2608.178,2650.131,2391.982,2808.208,2870.643,2789.732,2791.827,2401.458,2452.928,2440.28,2457.012,2461.851,2398.768,2650.483,2627.15,2631.6,2639.3,2408.5,2378.843,2393.876,2438.835,2403.058,2351.959,2404.909,2400.182,2438.455,2441.149,2351.339
18,2563.947,2611.607,2599.482,2648.988,2385.774,2808.256,2864.678,2792.286,2789,2399.244,2452.744,2443.518,2451.345,2452.976,2396.542,2653.05,2623.483,2639.683,2624.583,2410.45,2374.835,2388.24,2437.248,2409.934,2349.537,2407.537,2399.529,2434.314,2444,2358.545
19,2561.292,2617.292,2604.678,2649.03,2386.137,2802.792,2867.202,2792.94,2790.202,2403.512,2451.512,2444.661,2454.762,2458.149,2401.089,2659.367,2627.583,2637.167,2629.833,2414.367,2378.066,2391.504,2435.983,2414.496,2342.388,2404.57,2398.512,2433.851,2446.802,2352.719
20,2563.887,2624.28,2607.553,2632.655,2389.673,2801.893,2866.238,2788.976,2787.947,2401.381,2451.423,2441.333,2453.762,2459.369,2397.018,2649.633,2624.4,2635.283,2639.817,2402.683,2376.149,2386.736,2432.264,2405.983,2348.421,2402.926,2401.876,2439.736,2444.372,2353.025
21,2565.137,2626.137,2605.81,2634.22,2391.333,2796.072,2866.065,2799.399,2785.042,2398.56,2452.661,2444.381,2456.518,2459.964,2396.518,2654.083,2626.683,2628.683,2635.017,2409.933,2379.19,2391.711,2436.636,2407.702,2348.645,2406.471,2396.554,2441.769,2445.099,2349.777
22,2560.042,2625.822,2611.238,2630.631,2388.178,2795.042,2870.947,2798.625,2780.994,2399.244,2452.988,2442.178,2452.262,2457.768,2400.387,2657.8,2627.65,2632.733,2620.033,2410.567,2379.116,2389.678,2431.074,2412.215,2346.223,2405.455,2405.678,2439.273,2445.025,2352.14
23,2556.928,2630.048,2613.69,2644.077,2387.101,2796.024,2871.53,2801.28,2785.173,2398.572,2457.024,2437.798,2457.351,2459.185,2400.31,2661.133,2620.617,2627.8,2630.95,2412.483,2379.736,2393.967,2436.215,2408.066,2349.364,2405.397,2402.116,2432.132,2446.43,2351.306
24,2561.619,2634.226,2616.595,2650.697,2390.107,2797.048,2869.161,2806.697,2781.738,2394.292,2458.048,2445.928,2450.077,2456.887,2401.214,2656.683,2636.8,2635.633,2631.917,2409.183,2375.521,2389.198,2439.595,2406.62,2349.529,2408.843,2401.008,2436.413,2443.207,2350.256
25,2561.452,2628.458,2614.982,2623.381,2392.536,2797.583,2868.881,2803.399,2785.286,2402.428,2458.363,2448.982,2454.012,2458,2398.815,2656.3,2645.35,2645.817,2635.35,2413.233,2379.884,2391.893,2434.884,2403.851,2348.438,2410.041,2403.727,2435.802,2446.529,2352.678
26,2563.268,2635.792,2613.827,2640.548,2387.851,2798.178,2862.19,2805.155,2777.167,2399.202,2454.839,2448.012,2457.286,2459.345,2402.589,2655.483,2635.883,2643.067,2634.133,2409.65,2383.554,2396.645,2439.744,2402.769,2352.843,2403.901,2399.14,2438.926,2447.562,2357.149
27,2566.458,2634.661,2619.363,2636.714,2388.518,2803.822,2868.256,2803.744,2776.601,2398.589,2461.655,2450.803,2460.512,2459.899,2396.417,2653.933,2638.55,2645.517,2630.433,2406.383,2382.264,2391.545,2436.521,2403.587,2348.099,2403.289,2396.545,2440.603,2451.909,2350.868
28,2558.155,2627.06,2607.553,2647.435,2386.548,2811.506,2863.381,2803.947,2777.363,2402.131,2457.423,2450.048,2456.655,2460.678,2394.256,2663.6,2633.983,2633.267,2629.867,2410.683,2382.174,2388.033,2444.165,2411.744,2346.388,2401.711,2405.802,2439.455,2448.165,2354.653
29,2560.887,2636.274,2608.036,2625.655,2390.155,2811.976,2862.851,2807.214,2774.928,2404.506,2458.274,2450.673,2458.339,2461.726,2395.97,2661.25,2636.95,2640.833,2627.45,2405.067,2379.934,2392.405,2443.405,2403.793,2354.198,2408.488,2404.298,2445.463,2447.835,2350.264
30,2556.822,2632.048,2612.256,2627.631,2387.613,2813.887,2860.339,2803.732,2779.589,2401.869,2459.572,2452.012,2457.798,2458.381,2399.47,2653.583,2632.667,2632.917,2639.45,2405.95,2383.372,2391.347,2434.413,2403.545,2346.62,2405.669,2401.645,2439.752,2446.645,2358.884
31,2555.994,2626.625,2605.381,2631.542,2388.798,2819.678,2860.375,2809.857,2787.875,2401.303,2452.458,2453.613,2458.536,2461.369,2395.506,2658.95,2647.283,2642.4,2632.267,2406,2382.331,2387.669,2437.983,2401.083,2353.603,2406.719,2400.446,2439.322,2449.488,2348.95
