Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
1,2539.268,2548.351,2534.28,2529.298,2364.952,2358.976,2701.667,2522.268,2603.244,2365.44,2396.405,2382.548,2370.018,2378.958,2373.292,2586.25,2580.883,2558.85,2515.917,2391.25,2373.504,2373.802,2361.174,2363.537,2330.793,2413.719,2413.174,2407.545,2385.645,2380.364
2,2536.488,2533.476,2537.994,2531.667,2365.935,2354.643,2706.345,2526.072,2607.899,2367.149,2391.923,2379.173,2376.25,2377.958,2368.28,2583.7,2572.8,2561.767,2517.667,2389.917,2369.917,2374.397,2370.347,2362.901,2339.132,2411.157,2416,2404.207,2381.05,2380.083
3,2533.768,2538.149,2543.649,2526.292,2366.381,2356.732,2703.435,2530.303,2602.381,2367.661,2393.994,2379.137,2374.238,2379.464,2373.423,2576.1,2578.083,2571.017,2519.017,2391.017,2377.372,2381.388,2363.182,2364.529,2334.537,2412,2413.727,2402.231,2382.628,2376.099
4,2538.792,2538.22,2543.702,2531.601,2360.03,2355.518,2693.464,2516,2601.768,2364.982,2395.851,2375.697,2373.024,2380.428,2371.917,2575.467,2581.433,2575.9,2530.033,2388.85,2374.645,2375.554,2361.05,2367.686,2334.917,2408.628,2413.529,2405.289,2380.529,2381.24
5,2535.744,2539.935,2543.143,2531.815,2366.053,2355.357,2688.488,2530.911,2610.542,2368.125,2396.268,2375.298,2374.47,2382.512,2367,2582.433,2576.6,2558.617,2521.15,2391.033,2375.355,2378.264,2362.124,2366.645,2337.661,2405.843,2410.983,2401.331,2383.314,2375.661
6,2537.75,2546.697,2542.417,2536.333,2366.524,2359.333,2687.708,2523.607,2615.78,2368.726,2397.178,2375.083,2375.494,2386.345,2375.833,2579.85,2573.233,2571.983,2518.867,2390.983,2375.901,2380.529,2369.157,2372.074,2333.273,2412.041,2413.893,2411.95,2384.876,2380.702
7,2539.399,2550.851,2540.036,2529.024,2361.464,2362.815,2689.548,2527.81,2608.274,2369.952,2391.827,2375.339,2373.143,2381.339,2370.25,2577.967,2576.6,2573.183,2522.133,2385.767,2372.818,2377.388,2362.306,2371.942,2334.579,2406.43,2413.124,2408.463,2380.579,2382.736
8,2542.298,2535.911,2547.714,2529.072,2363.405,2356.78,2680.435,2522.988,2604.488,2368.286,2397.19,2371.125,2376.708,2382.94,2375.036,2584.7,2567.8,2578.083,2523.5,2393.45,2376.116,2378.554,2362.479,2367.281,2331.57,2407.653,2413.017,2406.86,2383.314,2378.769
9,2538.5,2544.274,2547.399,2537.72,2361.238,2361.155,2684.589,2523.768,2603.637,2366.952,2389.447,2380.893,2370.774,2381.661,2372.423,2578.217,2573.417,2567.667,2517.733,2394.967,2371.793,2375.727,2360.57,2359.562,2329.025,2412.967,2409.066,2399.769,2385.645,2379.975
10,2541.72,2534.339,2549.137,2536.572,2363.197,2356.714,2662.363,2524.738,2606.976,2368.101,2391.417,2376.601,2376.661,2384.131,2372.72,2590.533,2575.883,2575.8,2514.817,2391.333,2367.926,2375.909,2363.223,2366.05,2337.736,2416.099,2413.182,2405.562,2381.645,2382.595
