Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
1,2562.637,2548.565,2604.167,2585.887,2362.161,2844.482,2769.268,2745.018,2665.006,2346.381,2374.851,2369.994,2364.363,2357.673,2332.887,2439.667,2455.9,2424.617,2456.717,2302.35,2321.702,2328.388,2326.901,2329.298,2290.231,2315.347,2300.587,2299.033,2294.397,2257.24
2,2556.81,2547.75,2603.518,2586.97,2362.423,2831.851,2757.512,2738.601,2663.53,2347.827,2372.464,2364.631,2357.928,2356.553,2333.911,2435.833,2458.8,2429.283,2451.867,2292.35,2327.727,2330.182,2328.711,2329.893,2287.479,2312.463,2302.248,2294.81,2298.074,2256.843
3,2559.274,2541.911,2600.887,2588.178,2362.685,2835.923,2731.143,2735.887,2663.518,2345.899,2376.048,2369.833,2359.345,2356.512,2331.774,2442.85,2450.45,2419.583,2460.483,2299.383,2322.851,2328.107,2325.727,2321.851,2295.736,2309.868,2297.802,2297.694,2296.298,2255.57
4,2558.744,2549.625,2603.53,2585.822,2359.976,2833.405,2717.089,2735.238,2645.56,2349.947,2378.786,2371.435,2358.405,2352.036,2337.917,2435.983,2454.65,2421.417,2462.683,2307.85,2322.273,2327.57,2326.818,2325.182,2293.868,2311.926,2293.554,2303.198,2292.744,2258.851
5,2564.822,2540.583,2602.053,2590.631,2365.464,2842.78,2728.22,2740.119,2650.619,2350.857,2375.149,2371.125,2359.827,2357.697,2335.345,2443.717,2452.75,2421.75,2459.167,2302.233,2327.488,2326.86,2327.43,2327.769,2296.322,2315.826,2302.595,2300.074,2295.603,2258.537
6,2553.577,2548.375,2608.887,2591.613,2362.577,2814.935,2723.875,2734.232,2638.988,2350.226,2374.536,2374.155,2359.428,2359.208,2333.411,2456.2,2450.733,2422.317,2460.017,2298.633,2330.545,2327.388,2328.694,2324.554,2294.512,2309.653,2305.653,2295.802,2290.876,2256.661
7,2558.935,2548.053,2610.923,2589.583,2363.22,2820.839,2732.345,2733.411,2645.649,2341.583,2371.827,2368.982,2365.125,2356.083,2329.411,2442.617,2455.733,2418.233,2454.2,2304.183,2324.669,2330.661,2323.959,2328.083,2294.298,2309.884,2301.107,2302.091,2294.298,2254.826
8,2561.095,2554.185,2611.47,2590.399,2363.28,2810.583,2739.667,2727.101,2643.417,2346.53,2372.149,2367.845,2362.56,2354.857,2331,2441.9,2462.517,2440.183,2454.9,2306.483,2327.884,2328.066,2327.62,2319.818,2296.967,2310.116,2302.463,2299.157,2299.256,2258.05
9,2558.667,2537.107,2612.655,2589.833,2364.97,2801.893,2731.28,2729.542,2632.44,2347.524,2376.822,2368.405,2361.643,2358.042,2330.756,2447.167,2455.667,2421,2446.95,2300.767,2330.083,2329.893,2327.421,2327.083,2293.132,2304.744,2303.198,2297.562,2297.826,2258.711
10,2558.452,2543.185,2611.512,2593.595,2359.042,2814.863,2741.857,2722.833,2635.56,2350.173,2371.31,2366.542,2360.322,2358.322,2332.75,2444.05,2445.55,2423.45,2457.183,2301.833,2322.512,2326.934,2323.711,2330.579,2294.463,2317.595,2300.207,2297.595,2291.736,2255.678
11,2553.78,2548.101,2609.708,2587.708,2367.976,2815.827,2746.69,2724.464,2632.036,2346.905,2372.798,2370.435,2357.625,2359.994,2337.113,2441.683,2450.05,2426.833,2461.15,2299.3,2322.529,2328.653,2325.967,2321.364,2289.033,2315.017,2303.512,2302.496,2292.124,2254.909
12,2557.53,2544.065,2612.988,2583.869,2366.756,2801.161,2745.458,2710.75,2634.988,2349.649,2372.958,2368.19,2357.56,2352.798,2328.506,2441.717,2449.517,2418.683,2450.717,2295.817,2327.62,2329.744,2326.091,2323.777,2295.256,2311.62,2303.752,2301.62,2294.256,2253.19
13,2562.482,2552.893,2610.815,2585.137,2362.411,2796.327,2741.488,2710.476,2631.381,2344.601,2369.113,2372.768,2362.905,2357.435,2339.173,2440.5,2445.817,2424.25,2454.283,2310.317,2326.967,2327.727,2328.248,2319.942,2294.917,2320.041,2304.835,2298.983,2288.636,2258.818
14,2557.238,2545.685,2618.214,2585.178,2364.667,2797.762,2726.423,2716.161,2634.607,2345.405,2372.792,2373.107,2361.947,2355.095,2334.25,2437.35,2449.8,2418.217,2440.667,2304.6,2326.942,2332.727,2329.843,2325.43,2295.917,2310.669,2303.058,2301.388,2293.57,2254.347
15,2562.423,2550.018,2614.143,2580.678,2367.577,2793.72,2727.214,2717.345,2631.917,2344.78,2373.274,2366.631,2358.048,2355.256,2332.178,2427.517,2450.433,2417.133,2451.317,2299.033,2324.405,2331.653,2323.397,2325.95,2293.587,2311.727,2304.066,2292.884,2291.421,2258.322
16,2563.917,2546.726,2614.762,2578.673,2361.958,2796.327,2728.488,2720.899,2624.149,2345.619,2376.982,2369.619,2358.803,2354.928,2334.803,2428.733,2447.033,2430.25,2447.267,2303.3,2326.711,2328.636,2324.702,2318.884,2292.802,2315.876,2304.281,2295.86,2295.603,2256.066
17,2559.161,2550.774,2618.31,2578.935,2365.303,2803.185,2726.601,2715.75,2616.762,2352.161,2372.923,2370.482,2357.798,2356.536,2332.327,2443.4,2450.3,2421.683,2447.483,2300.05,2324.86,2326.694,2324.537,2327.364,2287.579,2318.132,2302.306,2298.223,2290.636,2256.041
18,2563.018,2553.303,2617.137,2577.607,2362.381,2803.435,2732.256,2714.905,2619.387,2350.435,2374.738,2370.548,2360.018,2353.107,2331.756,2445.333,2455.917,2419.283,2439.8,2300.817,2327.091,2328.81,2327.033,2330.132,2298.083,2311.19,2301.256,2296.81,2296.388,2252.628
19,2561.167,2554.042,2613.75,2579.786,2362.815,2800.94,2716.762,2710.405,2609.518,2346.393,2374.619,2364.863,2361.72,2358.5,2333.345,2438.083,2448.417,2423.333,2460.517,2300.883,2329.157,2330.364,2328.595,2322.322,2292.694,2315.058,2303.207,2295.587,2289.587,2251.471
20,2561.78,2547.524,2615.077,2581.583,2363.565,2802.143,2715.744,2714.583,2603.524,2345.006,2373.423,2371.619,2355.75,2348.553,2334.363,2439.083,2459.8,2419.1,2450.3,2309.533,2320.521,2331.322,2320.198,2318.421,2288.769,2309.174,2302.157,2300.264,2293.207,2259.017
21,2564.244,2546.155,2618.577,2581.292,2363.524,2795.542,2721.476,2714.226,2615.524,2348.185,2373.649,2368.988,2361.976,2353.411,2331.512,2429.15,2454.217,2430.433,2455.533,2306.617,2323.446,2330.157,2325.347,2326.983,2297.388,2310.421,2303.314,2297.851,2297.314,2256.281
22,2570.952,2542.447,2620.226,2576.256,2364.494,2798.053,2716.036,2710.256,2612.345,2342.798,2377.667,2367.548,2361.744,2357.161,2335.524,2433.033,2449.8,2427.9,2447.2,2300.333,2318.851,2326.496,2324.802,2329.463,2293.587,2308.942,2302.322,2292.504,2298.463,2257.802
