row,col,condition,strain
A,1,HM9,0
A,2,HM9,0
A,3,HM9,0
A,4,86mM_NaCl,0
A,5,86mM_NaCl,0
A,6,86mM_NaCl,0
A,7,134mM_NaCl,0
A,8,134mM_NaCl,0
A,9,134mM_NaCl,0
A,10,233mM_NaCl,0
A,11,233mM_NaCl,0
A,12,233mM_NaCl,0
B,1,HM9,MG
B,2,HM9,MG
B,3,HM9,MG
B,4,86mM_NaCl,MG
B,5,86mM_NaCl,MG
B,6,86mM_NaCl,MG
B,7,134mM_NaCl,MG
B,8,134mM_NaCl,MG
B,9,134mM_NaCl,MG
B,10,233mM_NaCl,MG
B,11,233mM_NaCl,MG
B,12,233mM_NaCl,MG
C,1,HM9,R1
C,2,HM9,R1
C,3,HM9,R1
C,4,86mM_NaCl,R1
C,5,86mM_NaCl,R1
C,6,86mM_NaCl,R1
C,7,134mM_NaCl,R1
C,8,134mM_NaCl,R1
C,9,134mM_NaCl,R1
C,10,233mM_NaCl,R1
C,11,233mM_NaCl,R1
C,12,233mM_NaCl,R1
D,1,HM9,R2
D,2,HM9,R2
D,3,HM9,R2
D,4,86mM_NaCl,R2
D,5,86mM_NaCl,R2
D,6,86mM_NaCl,R2
D,7,134mM_NaCl,R2
D,8,134mM_NaCl,R2
D,9,134mM_NaCl,R2
D,10,233mM_NaCl,R2
D,11,233mM_NaCl,R2
D,12,233mM_NaCl,R2
E,1,HM9,R3
E,2,HM9,R3
E,3,HM9,R3
E,4,86mM_NaCl,R3
E,5,86mM_NaCl,R3
E,6,86mM_NaCl,R3
E,7,134mM_NaCl,R3
E,8,134mM_NaCl,R3
E,9,134mM_NaCl,R3
E,10,233mM_NaCl,R3
E,11,233mM_NaCl,R3
E,12,233mM_NaCl,R3
F,1,HM9,R4
F,2,HM9,R4
F,3,HM9,R4
F,4,86mM_NaCl,R4
F,5,86mM_NaCl,R4
F,6,86mM_NaCl,R4
F,7,134mM_NaCl,R4
F,8,134mM_NaCl,R4
F,9,134mM_NaCl,R4
F,10,233mM_NaCl,R4
F,11,233mM_NaCl,R4
F,12,233mM_NaCl,R4
G,1,HM9,R5
G,2,HM9,R5
G,3,HM9,R5
G,4,86mM_NaCl,R5
G,5,86mM_NaCl,R5
G,6,86mM_NaCl,R5
G,7,134mM_NaCl,R5
G,8,134mM_NaCl,R5
G,9,134mM_NaCl,R5
G,10,233mM_NaCl,R5
G,11,233mM_NaCl,R5
G,12,233mM_NaCl,R5
H,1,HM9,R6
H,2,HM9,R6
H,3,HM9,R6
H,4,86mM_NaCl,R6
H,5,86mM_NaCl,R6
H,6,86mM_NaCl,R6
H,7,134mM_NaCl,R6
H,8,134mM_NaCl,R6
H,9,134mM_NaCl,R6
H,10,233mM_NaCl,R6
H,11,233mM_NaCl,R6
H,12,233mM_NaCl,R6
