well,strain,condition,gr,dt
B3,MG,HM9,0.0241,28.7612938
B2,MG,HM9,0.0221,31.36412582
B1,MG,HM9,0.0183,37.87689511
D3,ALE1,HM9,0.029,23.90162692
D2,ALE1,HM9,0.026,26.65950694
D1,ALE1,HM9,0.0257,26.97070741
E1,ALE2,HM9,0.0258,26.86616979
E2,ALE2,HM9,0.0275,25.20535202
E3,ALE2,HM9,0.0265,26.15649738
F3,ALE3,HM9,0.028,24.75525645
F2,ALE3,HM9,0.0254,27.28925908
F1,ALE3,HM9,0.0289,23.98433151
G1,ALE4,HM9,0.0281,24.66715945
G2,ALE4,HM9,0.0289,23.98433151
G3,ALE4,HM9,0.0244,28.40767133
H3,ALE5,HM9,0.0197,35.18513607
H2,ALE5,HM9,0.0189,36.674454
H1,ALE5,HM9,0.0193,35.91436169
B6,MG,HM9+50%sea,0.0154,45.00955718
B5,MG,HM9+50%sea,0.0147,47.15286943
B4,MG,HM9+50%sea,0.014,49.5105129
D6,ALE1,HM9+50%sea,0.0171,40.53492284
D5,ALE1,HM9+50%sea,0.0151,45.90378679
D4,ALE1,HM9+50%sea,0.0162,42.786863
E4,ALE2,HM9+50%sea,0.0184,37.67104242
E5,ALE2,HM9+50%sea,0.0178,38.94085284
E6,ALE2,HM9+50%sea,0.0194,35.72923611
F6,ALE3,HM9+50%sea,0.019,36.48143056
F5,ALE3,HM9+50%sea,0.017,40.77336356
F4,ALE3,HM9+50%sea,0.0166,41.75585425
G4,ALE4,HM9+50%sea,0.0159,43.5941623
G5,ALE4,HM9+50%sea,0.0158,43.87007472
G6,ALE4,HM9+50%sea,0.0163,42.52436691
H5,ALE5,HM9+50%sea,0.0179,38.72330618
H4,ALE5,HM9+50%sea,0.0189,36.674454
