Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
RED_1,318.759,318.334,317.47,317.586,317.707,317.428,318.229,318.011,317.308,317.84,316.793,317.102,317.452,317.435,316.946,316.786,317.715,317.505,318.23,317.077,317.97,316.751,317.255,316.556,317.013,316.906,317.362,316.644,316.718,317.307,317.393,317.384,315.333,317.273,315.461,315.603,316.329,316.908,315.959,315.793,316.448,316.012,315.372,316.495,315.482,315.739,315.633,316.365,316.774,315.932,315.203,4893.11,6377.12,6417.352,6413.611,6452.425,6446.159,6440.853,6450.848,6456.132,6441.216,6437.045,6394.695,6398.043,6384.966,6386.688,6391.691,6387.847,6522.252,6518.988,6537.654,6554.298,6550.53,6546.272,6571.453,6541.867,395.351,321.446,321.262,320.36,320.048,319.89,319.41,319.436,320.016,318.75,318.637,318.911,319.894,319.283,319.872,318.996,320.341,319.82,320.32,320.622,319.672,320.894,319.518,321.685,318.737,320.153,318.634,318.663,317.933,316.517,316.945,316.868,316.982,316.114,316.628,316.393,315.42,315.234,314.648,315.064,314.481,314.831,315.091,313.903,314.78,314.817,314.89,313.894,315.371,313.054,314.21,313.551,313.972,314.081,313.669,313.95,312.71,312.628,313.694,314.383
R_1,2.093,2.267,2.062,2.122,2.271,2.151,2.069,1.978,2.095,2.1,2.149,2.226,2.076,2.154,2.133,2.203,2.141,2.108,2.158,2.072,2.193,2.25,2.262,2.243,2.31,2.251,2.184,2.207,2.193,2.189,2.285,2.245,2.324,2.255,2.232,2.164,2.232,2.123,2.154,2.206,2.333,2.282,2.083,2.396,2.138,2.174,2.163,2.165,2.228,2.233,2.261,2.06,2.231,2.308,2.465,2.797,3.047,3.334,3.815,4.273,4.788,5.406,6.045,6.754,7.411,8.272,9.054,10.197,11.333,12.283,13.315,14.556,15.537,16.786,17.389,18.86,17.524,19.655,21.436,22.092,22.7,23.04,23.207,24.103,24.319,24.116,24.072,21.934,22.119,22.203,22.388,22.104,21.959,21.924,20.895,20.873,20.625,20.362,20.227,19.661,19.484,19.421,19.274,19.166,18.454,18.231,18.324,17.936,17.771,17.556,17.124,16.607,16.441,16.447,16.246,16.116,16.026,15.144,14.969,15.128,15.346,15.288,15.062,14.54,14.33,14.379,14.088,13.946,14.214,13.402,13.388,13.373,13.418,13.254,13.165,13.022
L_1,1.843,1.838,1.806,1.965,1.988,1.844,1.951,1.819,1.816,1.926,1.936,1.94,1.962,1.928,1.868,1.885,1.872,1.937,2.005,1.985,1.851,1.976,1.89,1.98,1.995,1.941,1.95,2.056,1.906,2.048,2.025,1.895,2.052,1.899,2.05,1.959,2.078,2.081,2.018,1.964,1.933,1.906,1.904,1.879,1.971,2.015,1.987,1.913,1.975,1.922,2.098,1.757,1.99,2.084,2.238,2.502,2.743,3.09,3.459,4.005,4.6,5.266,5.768,6.384,7.205,7.942,8.815,9.871,11.184,12.156,13.394,14.238,15.315,16.274,16.96,18.132,16.644,18.676,20.537,21.349,21.818,22.333,22.808,23.752,24.046,23.965,22.6,22.644,22.253,22.006,21.991,21.7,21.289,21.265,20.342,20.54,20.616,20.382,19.876,19.152,19.011,18.914,18.625,18.8,18.873,18.648,17.915,17.535,17.396,17.328,17.098,16.639,15.911,15.769,15.668,15.543,15.59,15.257,15.19,15.239,15.212,14.436,14.386,14.124,14.031,14,13.788,13.59,13.66,13.499,13.204,13.037,13.057,12.877,12.778,12.638
RED_2,314.843,314.701,313.945,314.227,315.553,314.831,314.678,314.399,313.905,314.092,315.791,313.779,314.092,314.845,313.637,313.616,314.402,314.439,314.771,314.928,314.094,314.134,313.787,315.461,313.701,313.858,313.678,314.294,313.386,314.143,313.591,312.805,313.539,314,314.452,313.567,313.128,313.126,312.658,312.533,312.404,312.805,312.485,313.606,313.569,313.515,313.131,312.844,313.122,312.607,312.936,5084.445,6073.3,6167.948,6148.949,6213.305,6186.009,6242.158,6218.444,6223.083,6192.076,6253.676,6246.231,6140.146,6121.513,6269.335,6142.354,6176.047,6300.57,6244.418,6213.186,6546.117,6371.323,6339.068,6295.29,6298.967,351.338,318.734,317.377,316.996,316.384,316.945,315.359,316.99,316.252,315.495,315.784,315.487,315.729,315.226,316.557,316.348,316.496,316.642,316.934,316.925,315.747,317.209,316.387,317.086,315.345,315.206,316.161,315.969,314.86,315.717,314.377,313.03,313.6,314.354,312.67,312.752,311.949,312.046,311.56,312.177,311.224,312.022,311.202,310.895,311.814,312.665,311.213,310.577,310.773,310.986,310.869,310.981,311.303,310.779,311.262,311.04,311.36,311.217,310.406,310.386
R_2,2.208,2.254,2.273,2.148,2.214,2.304,2.436,2.313,2.423,2.405,2.248,2.378,2.26,2.234,2.248,2.224,2.309,2.442,2.328,2.354,2.426,2.325,2.221,2.303,2.46,2.201,2.248,2.254,2.291,2.361,2.296,2.312,2.343,2.34,2.315,2.265,2.234,2.327,2.22,2.272,2.303,2.304,2.21,2.311,2.329,2.36,2.335,2.36,2.334,2.206,2.31,2.202,2.361,2.433,2.788,3.175,3.668,4.169,4.887,5.742,6.79,7.869,8.93,10.134,11.588,13.062,14.415,16,17.567,19.045,20.53,21.94,23.38,24.682,25.479,27.349,26.164,28.386,29.681,30.285,30.837,31.265,31.9,31.947,31.929,30.649,29.133,29.171,29.509,29.359,29.218,28.724,27.907,26.008,25.884,25.98,25.479,25.087,24.872,23.257,23.147,22.644,22.823,22.915,22.573,22.323,21.968,20.068,20.127,19.82,19.489,19.402,19.139,19.118,18.92,18.747,18.232,18.16,17.916,17.901,17.421,17.041,17.072,16.729,16.209,16.051,15.927,15.893,15.959,15.819,15.405,15.475,15.21,15.414,15.143,14.873
L_2,1.591,1.495,1.482,1.707,1.558,1.57,1.579,1.671,1.707,1.564,1.585,1.681,1.561,1.484,1.513,1.558,1.661,1.626,1.61,1.629,1.692,1.665,1.672,1.665,1.722,1.523,1.634,1.65,1.622,1.683,1.75,1.631,1.682,1.663,1.66,1.636,1.532,1.6,1.555,1.574,1.722,1.681,1.63,1.61,1.542,1.672,1.534,1.523,1.581,1.472,1.662,1.441,1.527,1.746,2.009,2.554,3.04,3.605,4.328,4.999,5.924,6.824,7.801,8.892,10.124,11.46,12.426,13.273,14.759,16.408,17.751,19.289,20.645,21.775,22.225,23.75,24.302,25.934,25.502,26.608,27.043,27.516,27.862,28.081,28.187,25.842,25.894,25.69,25.361,25.192,24.814,24.491,22.458,22.594,22.276,22.094,21.601,20.89,21.89,19.922,20.08,19.624,19.256,19.055,19.221,19.16,17.214,17.244,16.961,16.581,16.625,16.486,16.209,15.866,15.703,14.985,14.138,14.068,14.148,14.144,14.081,14.179,14.185,13.763,13.593,13.545,13.555,12.69,12.724,12.444,12.597,12.494,12.415,12.291,12.057,11.75
RED_5,302.601,303.221,303.281,302.8,303.042,302.014,302.926,303.425,303.485,302.93,301.94,302.163,302.187,301.836,302.595,303.224,302.753,301.517,302.523,302.864,302.623,302.564,302.378,302.771,302.386,302.107,301.841,303.85,303.271,302.27,302.493,302.365,302.494,302.298,302.652,301.982,302.767,302.676,300.606,301.972,301.979,302.194,302.444,301.785,301.917,302.598,302.149,301.765,301.882,303.071,301.865,3848.263,4030.917,4008.345,4016.628,4148.195,4095.871,4086.425,4202.964,4113.772,4203.788,4091.853,3882.523,3919.225,3837.658,4096.964,4274.398,4120.458,4225.199,4207.079,4048.017,4031.065,4213.607,4255,4158.322,4140.847,310.468,306.414,304.753,304.341,305.528,305.047,305.61,304.562,303.934,305.429,304.216,305.156,305.175,304.819,304.968,304.861,305.187,305.588,306.016,306.145,306.069,304.997,306.345,305.244,305.167,304.348,305.16,304.559,304.46,304.01,304.673,303.974,302.783,303.644,302.705,302.457,303.32,302.886,301.701,302.609,302.822,301.585,301.786,302.432,302.721,303.342,302.173,301.838,301.976,301.926,301.224,302.283,302.742,301.603,302.157,301.171,301.346,302.507,302.224,300.829
R_5,1.995,2.142,2.039,2.171,2.134,2.195,2.097,2.142,2.119,2.263,2.052,2.293,2.222,2.216,2.176,2.141,2.221,2.25,2.359,2.192,2.19,2.182,2.223,2.147,2.307,2.112,2.285,2.391,2.278,2.244,2.248,2.191,2.327,2.465,2.209,2.24,2.242,2.147,2.298,2.255,2.156,2.188,2.303,2.229,2.189,2.334,2.231,2.261,2.459,2.355,2.325,2.314,2.326,2.626,3.008,3.659,4.443,5.099,5.913,6.974,7.691,8.657,9.523,10.198,11.232,12.184,13.108,13.966,15.23,16.298,16.767,17.592,18.547,19.406,20.299,20.828,21.412,22.28,22.633,22.112,22.565,22.701,22.921,22.679,22.5,22.089,21.034,21.319,21.27,21.457,21.389,21.454,19.912,20.064,19.94,20.192,19.709,19.531,18.441,18.595,18.371,17.257,18.079,17.926,17.223,17.376,17.437,17.117,16.904,16.494,15.238,15.095,15.18,15.136,15.247,14.075,14.206,13.997,13.944,13.977,13.517,13.295,13.411,13.178,13.13,12.254,12.217,12.07,12.271,12.288,12.191,11.715,11.417,11.433,11.335,10.707
L_5,1.331,1.393,1.372,1.324,1.44,1.31,1.394,1.538,1.459,1.428,1.436,1.362,1.323,1.337,1.321,1.282,1.433,1.412,1.477,1.391,1.389,1.386,1.359,1.408,1.36,1.365,1.438,1.412,1.484,1.444,1.494,1.529,1.44,1.493,1.342,1.529,1.401,1.5,1.372,1.396,1.429,1.383,1.358,1.277,1.344,1.487,1.357,1.451,1.322,1.375,1.378,1.259,1.404,1.69,2.09,2.741,3.248,4.014,4.692,5.694,6.512,7.49,8.323,9.265,10.154,11.245,12.064,13.069,14.201,15.25,16.07,16.774,17.507,17.347,18.054,18.555,19.329,20.466,20.918,21.229,21.349,21.351,21.598,21.751,21.345,21.062,20.895,19.199,19.298,19.3,19.014,18.693,19.233,18.806,18.44,18.339,17.986,17.927,17.743,17.387,17.206,14.91,15.871,15.779,15.614,15.206,15.066,14.847,14.578,13.261,13.09,13.153,12.866,12.83,12.73,12.2,11.865,11.822,11.684,11.42,11.546,11.344,11.275,10.285,10.309,10.186,10.108,9.898,9.977,9.447,9.343,9.385,9.442,9.257,9.085,9.118
RED_6,301.417,302.15,301.603,302.256,302.104,301.706,301.439,302.569,302.058,301.81,300.459,302.055,301.65,302.785,300.731,301.027,300.698,302.166,302.131,301.886,301.465,302.638,301.839,302.167,302.009,300.631,301.728,301.407,303.521,302.212,302.187,301.913,301.454,301.701,301.133,302.693,302.296,301.005,301.857,301.374,301.497,302.277,301.351,301.203,301.819,300.254,301.788,302.615,301.366,301.393,301.338,2880.467,2931.766,2993.359,2938.366,3011.949,3010.603,2987.802,3100.002,2964.913,3038.344,2819.758,2789.216,2843.804,2754.328,2918.017,3187.326,2931.153,3095.858,3085.595,2962.287,2900.029,2998.639,3102.376,3011.017,3005.556,308.328,306.111,305.174,303.593,304.113,304.348,303.95,304.074,303.047,304.437,304.068,303.702,303.17,303.593,303.417,304.325,303.367,304.573,304.228,304.484,304.913,305.35,305.013,304.173,303.809,303.467,302.946,303.359,303.739,303.071,303.051,302.605,303.421,301.819,302.058,303.207,302.453,302.937,302.066,301.995,302.038,302.329,301.364,301.569,301.472,301.902,302.924,302.286,301.759,302.098,301.006,300.976,303.144,300.857,301.97,301.621,302.778,302.206,301.891,301.757
