Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
RED_1,313.88,313.265,313.743,313.383,314.205,313.965,313.903,313.858,313.951,314.039,312.757,312.841,312.67,312.747,312.803,313.712,313.11,313.083,313.44,312.452,312.51,312.748,313.445,312.189,313.485,312.344,313.364,312.366,312.828,313.343,311.609,312.306,313.309,313.43,312.809,312.059,312.782,312.559,313.247,312.601,312.181,312.287,312.927,311.483,312.226,312.571,311.679,311.771,312.83,312.036,312.12,3394.152,4085.867,4137.28,4170.024,4191.118,4197.33,4201.857,4216.316,4212.72,4202.248,4217.094,4196.659,4240.873,4215.809,4226.598,4212.014,4204.542,4175.306,4185.077,4203.687,4203.326,4225.1,4238.193,4247.556,4244.065,324.243,318.354,317.546,315.937,315.117,316.15,315.296,316.106,315.719,315.59,314.781,316.049,316.485,314.779,315.179,316.154,315.429,315.773,315.554,314.868,314.974,315.189,315.037,314.987,313.656,314.061,314.771,314.793,314.337,313.865,314.434,313.543,313.376,312.981,313.22,312.995,312.956,312.988,313.435,313.906,312.617,312.629,312.177,312.756,313.127,313.484,312.98,313.158,312.399,312.28,312.313,312.868,311.853,313.047,311.991,311.855,311.924
R_1,1.854,1.953,1.957,2.011,1.907,1.903,1.851,1.926,1.845,1.958,2.008,1.861,1.815,1.983,1.992,2.01,1.958,1.981,1.848,1.885,1.848,1.965,1.894,1.926,1.901,1.912,1.939,1.812,1.864,1.973,1.915,1.784,1.861,1.979,1.879,1.894,1.909,1.936,1.873,1.823,1.817,1.815,1.871,1.874,1.712,1.851,1.918,1.962,1.861,1.886,1.92,1.79,1.928,2.112,2.194,2.186,2.441,2.637,3.014,3.076,3.347,3.759,4.084,4.594,4.978,5.332,5.877,6.322,6.772,7.373,7.991,8.698,9.339,10.078,10.14,10.97,11.003,12.193,13.213,13.753,13.847,15.553,13.856,14.692,14.852,15.858,15.938,15.72,15.809,15.664,15.342,16.213,15.961,15.436,14.93,14.187,12.583,12.548,12.362,12.575,12.584,12.61,12.301,12.513,12.308,11.662,11.442,10.698,10.689,11.151,11.061,10.882,10.088,10.518,10.105,10.162,10.195,9.962,10.222,9.484,9.568,9.255,9.213,9.123,8.318,8.406,8.43,8.257,8.668,8.379,8.278,7.962,7.803
L_1,0.776,0.65,0.844,0.846,0.773,0.976,0.878,0.853,0.808,0.761,0.908,0.747,0.804,0.708,0.751,0.764,0.696,0.841,0.794,0.762,0.74,0.747,0.738,0.825,0.77,0.75,0.771,0.621,0.707,0.832,0.766,0.679,0.744,0.78,0.776,0.704,0.445,0.506,0.552,0.576,0.69,0.64,0.654,0.499,0.673,0.647,0.688,0.709,0.617,0.708,0.561,0.607,0.739,0.886,1.004,0.999,1.184,1.236,1.393,1.419,1.739,1.828,2.033,2.314,2.617,2.813,3.255,3.4,3.529,3.91,4.311,4.51,5.257,5.417,5.436,5.774,4.34,5.326,6.511,6.587,6.926,7.308,7.317,7.66,8.805,8.216,7.678,7.146,6.639,7.204,6.831,6.675,6.236,5.972,6.866,6.242,5.073,5.107,4.886,4.421,5.136,5.276,5.017,4.818,3.846,3.689,3.474,4.132,4.21,3.652,3.34,3.294,2.895,3.399,3.057,2.888,2.799,2.535,2.183,2.107,2.168,1.892,2.271,1.92,1.718,1.57,1.889,1.368,1.288,1.389,0.517,0.63,0.774
RED_2,311.949,311.572,311.739,311.042,311.752,310.925,311.748,312.274,311.014,311.905,311.7,311.91,310.337,312.26,311.474,311.483,312.194,311.551,310.191,310.905,310.94,312.673,310.52,310.707,311.473,311.657,311.199,310.859,311.467,310.585,310.787,311.414,311.853,311.186,310.694,310.711,310.177,310.688,311.563,311.584,309.729,310.975,310.427,310.02,311.255,310.739,311.492,309.784,310.389,310.269,310.158,2891.927,3359.685,3399.356,3424.024,3431.319,3442,3459.168,3463.458,3434.601,3449.282,3445.718,3442.511,3477.983,3454.658,3458.677,3454.88,3449.322,3427.879,3427.627,3447.469,3436.067,3458.349,3469.987,3472.739,3475.123,318.8,314.934,313.537,313.286,313.02,314.747,313.405,313.57,314,312.97,313.512,313.74,312.837,313.429,314.184,313.142,313.208,313.949,312.79,311.883,313.22,313.465,313.537,313.176,312.755,312.496,312.896,311.313,311.974,311.834,311.172,311.942,311.128,310.832,311.474,311.083,311.803,311.371,311.095,311.191,310.891,311.269,310.143,311.044,310.847,312.111,311.125,311.34,310.657,310.681,310.686,310.455,311.028,310.596,309.895,309.97,309.046
R_2,1.928,1.868,1.964,1.925,2.02,1.931,1.93,1.965,1.889,2.024,2.034,1.896,1.902,2.085,2.013,2.045,2.042,1.913,1.962,2.017,2.178,2.083,2.015,2.107,1.893,1.975,1.972,1.937,2.017,2.129,2.15,1.96,2.031,1.981,1.992,2.013,2.012,2.017,1.968,1.973,2.039,2.005,1.94,2.091,2.068,2.128,1.969,1.945,1.94,2.163,1.99,1.901,2.005,2.324,2.485,2.824,3.223,3.679,4.218,4.916,5.707,6.561,7.558,8.288,9.31,10.3,11.189,12.234,13.307,14.354,15.317,16.128,16.374,15.898,16.85,17.905,18.92,19.638,20.711,21.622,22.007,22.434,22.488,23.248,23.497,23.451,23.447,22.005,22.323,22.383,22.3,21.536,21.597,21.355,21.018,20.271,20.133,20.659,20.217,19.747,19.481,19.308,18.929,18.493,18.272,17.912,17.475,17.538,17.801,15.777,15.69,15.471,15.585,15.154,15.08,15.119,14.947,14.254,13.802,13.815,13.847,13.748,13.419,13.424,12.282,12.321,12.196,12.162,11.898,11.841,11.836,11.74,11.364
L_2,1.331,1.427,1.301,1.391,1.484,1.429,1.405,1.352,1.46,1.464,1.387,1.401,1.49,1.446,1.433,1.466,1.411,1.443,1.36,1.451,1.491,1.557,1.407,1.535,1.498,1.398,1.465,1.598,1.548,1.461,1.523,1.449,1.559,1.507,1.355,1.397,1.539,1.58,1.546,1.493,1.481,1.438,1.42,1.447,1.589,1.545,1.498,1.483,1.504,1.569,1.521,1.572,1.692,1.75,1.978,2.428,2.634,3.183,3.86,4.531,5.379,6.02,7.153,7.926,8.895,9.891,11.015,11.499,12.381,13.512,14.644,15.69,16.857,17.838,18.811,19.743,20.941,21.868,22.202,23.052,23.706,24.116,24.618,23.73,23.892,23.244,23.863,24.075,24.258,23.988,23.966,22.139,22.055,21.906,21.523,19.74,19.869,19.88,19.583,19.702,19.666,18.42,18.311,18.743,17.643,17.689,17.607,17.506,17.69,16.551,16.255,15.48,15.692,15.593,15.171,14.969,14.62,14.446,14.339,14.24,13.593,13.61,13.261,13.15,12.775,12.809,12.717,12.422,11.812,11.601,11.556,11.359,10.983
RED_3,314.849,315.325,315.69,314.791,314.738,315.689,315.172,315.404,314.628,314.851,315.718,315.09,314.662,313.425,315.765,313.859,313.697,313.915,314.399,313.986,314.376,313.621,313.941,313.561,314.218,313.448,313.931,313.522,313.904,314.09,313.84,313.548,314.302,313.78,314.16,313.762,313.225,314.192,312.291,313.327,313.613,313.76,313.558,313.729,314.762,313.949,314.35,312.845,312.381,314.192,2375.722,2668.244,2704.262,2720.798,2725.168,2728.05,2743.363,2752.417,2727.126,2738.069,2735.031,2734.607,2755.997,2739.356,2744.306,2733.34,2734.568,2711.326,2718.439,2726.67,2725.797,2747.52,2749.768,2750.226,2754.427,323.223,317.11,316.262,315.179,315.867,315.812,315.619,315.277,315.839,315.284,316,316.614,315.344,315.503,315.852,314.849,316.498,314.374,315.177,314.834,314.383,315.201,315.496,314.846,313.297,313.955,314.772,313.919,315.096,313.905,314.917,313.509,313.881,314.621,313.03,312.818,313.427,313.901,313.654,314.704,314.562,313.017,313.524,312.602,311.897,312.903,312.593,313.117,313.702,312.61,312.442,312.783,313.713,312.732,312.612,312.003,312.498,312.523
R_3,2.209,2.15,2.264,2.273,2.291,2.034,2.219,2.165,2.187,2.232,2.246,2.251,2.202,2.287,2.249,2.231,2.181,2.189,2.124,2.191,2.124,2.157,2.269,2.278,2.187,2.287,2.274,2.356,2.391,2.342,2.153,2.335,2.194,2.267,2.264,2.239,2.271,2.356,2.29,2.327,2.248,2.362,2.252,2.338,2.322,2.303,2.218,2.225,2.254,2.31,2.226,2.349,2.52,2.777,3.216,3.92,4.603,5.164,5.893,6.754,7.625,8.44,9.525,10.583,11.552,12.159,12.993,13.814,14.819,15.964,17.006,18.482,18.683,19.695,20.624,21.331,21.781,22.72,23.598,23.909,24.239,24.451,24.85,23.747,24.055,24.137,24.097,24.023,23.95,23.461,24.006,23.776,23.764,22.993,22.813,22.341,21.098,20.925,20.817,20.406,20.382,20.307,19.955,19.665,19.427,19.233,19.014,18.641,18.233,18.304,17.286,17.189,17.184,16.803,16.804,16.461,16.339,15.578,15.292,15.188,15.094,14.924,15.11,14.704,14.357,14.248,13.411,13.165,13.103,12.854,12.581,12.229,12.163
L_3,1.406,1.357,1.448,1.364,1.41,1.507,1.375,1.441,1.303,1.361,1.429,1.453,1.397,1.417,1.385,1.378,1.435,1.293,1.309,1.47,1.419,1.449,1.424,1.392,1.43,1.455,1.456,1.488,1.392,1.431,1.416,1.342,1.355,1.422,1.41,1.454,1.405,1.507,1.393,1.423,1.426,1.537,1.275,1.539,1.425,1.318,1.446,1.447,1.478,1.336,1.459,1.642,1.644,1.894,2.46,2.844,3.428,4.105,4.682,5.447,6.159,6.928,7.994,8.513,9.306,10.258,10.861,11.988,12.921,13.876,14.629,15.447,15.733,16.904,17.637,18.149,18.499,19.437,20.16,20.381,20.873,20.185,20.763,20.473,20.727,20.948,21.625,20.997,20.145,20.107,19.813,19.932,19.476,19.405,19.333,18.991,17.487,17.602,17.388,17.154,17.447,16.422,16.509,16.212,15.722,15.587,15.52,15.162,14.702,14.562,14.591,13.941,14.019,13.829,13.755,13.532,12.762,12.618,12.79,12.066,11.914,11.879,11.662,11.635,11.367,11.172,10.952,10.442,10.302,10.225,10.064,9.918,9.83
RED_4,310.69,311.008,310.552,310.897,310.875,310.264,310.007,311.215,309.835,310.492,310.818,310.108,311.21,310.236,309.953,308.794,309.397,309.942,310.38,309.758,310.361,310.762,310.414,310.359,309.435,310.449,309.329,308.877,309.786,310.276,309.987,310.611,309.621,309.502,309.612,310.589,310.152,310.136,309.915,309.328,310.052,310.102,309.282,310.706,310.31,310.16,309.356,309.961,309.201,309.259,1852.917,2032.76,2055.048,2063.414,2069.891,2073.131,2082.946,2083.69,2078.688,2082.357,2077.702,2080.654,2092.782,2081.296,2081.568,2073.54,2075.643,2060.084,2065.889,2072.557,2079.676,2090.667,2090.672,2088.352,2092.57,314.945,312.742,312.628,312.666,311.432,311.709,312.003,311.808,311.867,311.776,312.035,311.694,310.912,311.771,313.032,310.993,312.103,312.475,311.226,311.674,311.52,311.671,311.335,312.012,311.494,310.737,311.464,310.318,310.498,311.439,310.7,310.706,311.461,311.044,309.785,310.227,310.692,310.199,311.775,310.827,310.359,309.132,311.029,310.483,310.776,310.975,310.382,310.742,310.428,310.173,310.534,309.637,309.604,310.098,310.576,310.774,309.328,309.309
