strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
MG,0.991838305,0.992306514,0.98796569,0.98840964,0.986920414,0.987621962,0.989299166,0.984361021,0.987109305,0.982251559,0.982610561,0.98150777,0.984820248,0.984619585,0.982695505,0.987552967,1.040549668,1.238444546,1.63120771,2.348994082,3.360552482,4.84486402,6.76515312,9.316019402,12.41209472,15.73163058,18.22204374,19.91899128,19.50563363,19.18384682,18.49509803,18.03818513,17.55521965,17.36540792,16.74768367,16.40175511,16.16769032,15.74956013,15.48587704,15.37233578,15.08230791,14.85723317,15.3173718,14.24697756,14.03831413,13.86759862,13.76860833,13.60846426,13.45007991,13.32206115,13.20816001,13.14871314,12.94869011,12.89767003,12.82876581,12.74348006,12.68292049,12.54594032,12.50748706,12.4199249,12.41683488,12.34074749,12.30499821,12.18699038,12.19749117,12.11875309,12.03681531,11.94643275,11.90662273,11.91393512,11.86422198,11.8679299,11.80716941,11.73443833,11.70286196,11.69911327,11.66280879,11.65706614,11.56923127,11.51838019,11.49099144,11.50958567,11.52193638,11.38982216,11.46043991,11.34592227,11.30956139,11.32715245,11.25170359,11.24566406,11.23069972,11.15926295,11.09949316,11.10143149,11.02672382,11.00031629,10.95426081,10.91485758,10.86011367,10.80172858,10.75127536,16.0347806,10.61533889,10.71926873,10.56668662,10.5105333,10.50171822,10.4840906,10.42947006,10.3986727,10.38851323,10.36768802,10.29124198,10.29235367,10.26123237,10.21585845,10.23593901,10.14749176,10.17074808,10.10588585,10.00059709,9.995060248,9.908689345,9.862607583,9.852261041,9.804924632,9.804557866,9.788007695,9.821226924,9.731953193,9.628040929,9.606506351,9.575377264,9.593265954,9.637278653,9.626558249,9.623119456,9.638477993,9.617826277,9.662526752,9.658483295,9.70596482,9.651036805,9.63477789,9.645925392,9.665456018,9.673803681,9.651790888,9.68254063,9.690915251
MG,0.776735831,0.784994186,0.781725475,0.78304273,0.781929349,0.782937613,0.785091696,0.776786073,0.782416582,0.781409681,0.778086499,0.783003087,0.778299659,0.782309311,0.777316455,0.785748266,0.840993603,1.022336561,1.357594348,1.936264074,2.664968996,3.723617527,5.013150341,6.757072184,8.962272178,11.23032009,12.84962706,14.35042482,14.41367251,14.10479722,13.6156888,13.22597782,12.92089335,12.70072064,12.25744191,11.98070008,11.72581622,11.4174362,11.24069748,11.10273467,10.90580831,10.70765786,11.05383701,10.19158256,10.05457802,9.920713017,9.827189647,9.709918867,9.589389987,9.509599532,9.376239996,9.304809853,9.203917507,9.12976229,9.109083252,9.020647488,8.969607255,8.878993005,8.838122359,8.763740379,8.740224981,8.661092518,8.649214155,8.532703414,8.527588724,8.502417533,8.439222283,8.414418963,8.37223966,8.386703025,8.379231878,8.3124185,8.277020831,8.203123683,8.225671555,8.165993151,8.151821517,8.113898353,8.090724934,8.03958942,8.071181101,8.016385235,8.047030852,7.937745004,7.992952393,7.931799895,7.93851713,7.936801474,7.837996061,7.823088936,7.791821853,7.746987313,7.723964474,7.744351761,7.685534168,7.661999041,7.5907582,7.548085558,7.526793593,7.425235311,7.399767851,11.29562407,7.312291946,7.399595855,7.314714485,7.287960133,7.341277992,7.305341972,7.236685645,7.197493131,7.208484338,7.189748143,7.129385668,7.174387274,7.081877204,7.053396325,7.050116059,6.983772108,6.970683137,6.94807563,6.874230346,6.875626067,6.841251017,6.866967133,6.846162555,6.788236573,6.81923606,6.80000643,6.830868353,6.723555839,6.713673564,6.718723345,6.710846831,6.686712065,6.739038512,6.757048905,6.80122093,6.823417859,6.870109204,6.923234206,6.939731352,6.942230246,6.945906913,6.957635889,7.022209391,7.102615181,7.172223548,7.158261673,7.23315533,7.246280038
MG,0.913914601,0.9124978,0.916466293,0.915701175,0.9182772,0.918147099,0.918534022,0.917720815,0.920044524,0.921709318,0.919370774,0.917652265,0.920723722,0.92254575,0.925182193,0.927304422,0.994945737,1.229278777,1.633572629,2.351840996,3.183671695,4.380432239,5.701261364,7.547724998,9.949729168,12.63181738,15.12481954,17.59848779,19.18425418,20.17415784,19.41568538,18.79757279,18.13753747,17.8483716,17.0121448,16.55034211,16.20195058,15.55262302,15.1648934,14.9559249,14.54833739,14.20215311,14.49059054,13.33740062,13.06731818,12.8266007,12.60052429,12.46122502,12.23972268,12.08921745,11.89077367,11.75708003,11.52248062,11.41738433,11.28981981,11.12704845,11.04964064,10.90681556,10.81363587,10.70302244,10.6405079,10.52893288,10.43589789,10.2767057,10.27877269,10.16438156,10.07238453,10.02254813,9.958326588,9.905789415,9.833644923,9.793562187,9.772990705,9.667753304,9.574853232,9.552415033,9.477792914,9.375970976,9.438520397,9.369521165,9.519331734,9.533554946,9.568345811,9.531253024,9.621802097,9.540149455,9.52945258,9.544534382,9.539898214,9.530063627,9.509566243,9.512147235,9.482989769,9.501466525,9.453419153,9.431057736,9.397496297,9.417192626,9.355326488,9.32617809,9.304024796,14.28882768,9.264906684,9.335456741,9.242146275,9.370675659,9.430019425,9.450654152,9.45066923,9.433792694,9.424130336,9.407751946,9.378559264,9.37144457,9.315105789,9.230777825,9.242006715,9.171873293,9.154828445,9.162236063,9.019286499,9.031464879,8.975651687,8.967157781,8.937288294,8.814550733,8.878101882,8.832376568,8.936261299,8.836086693,8.756569166,8.856650484,8.952707784,8.950497466,8.925170361,8.96439086,9.064461539,9.122451729,9.182500867,9.154830209,9.155703229,9.264049098,9.267282135,9.235930621,9.26317849,9.290793084,9.328144951,9.354033911,9.614165086,9.678882391
MG,0.796850307,0.796207956,0.80265399,0.799724406,0.80156844,0.801036825,0.799818008,0.791484646,0.78487472,0.789281167,0.791778426,0.787393953,0.793314547,0.794352302,0.792146893,0.798597925,0.877888679,1.120176645,1.618443998,2.307240811,3.333668638,4.527297322,6.166637501,7.590652551,8.724145841,10.32092597,11.68686434,12.74628736,12.92683738,13.09470008,12.74442768,12.51169425,12.28416464,12.65442052,11.55159793,11.57107815,11.74579449,11.02987354,10.95180109,11.39859855,11.12022719,10.93427637,10.91499206,10.43598314,10.23574434,10.04988201,10.04142226,10.07516363,10.03174462,9.803357087,9.775109529,9.940876022,9.416774479,9.447720333,9.394275015,9.332052033,9.368416933,9.042875182,9.093928323,8.930167646,9.18824753,9.117522572,9.0364746,9.032831963,9.131984,8.707936198,8.804295819,8.762708774,8.764935922,8.731578983,8.679593125,8.666148054,8.624068205,8.647886642,8.415836376,8.615003623,8.523614736,8.678268917,7.914285604,7.77409493,7.989907973,7.891771003,8.02639336,7.949409062,8.089985019,7.922515183,7.859014877,7.781431909,7.930436734,8.059156178,8.113052951,8.099514039,8.020295526,8.153970488,8.02875783,7.991642725,7.83720277,7.963236416,7.821237025,7.771196153,7.812991178,11.39439186,7.840751313,7.801211683,7.754045419,8.002154228,7.711525015,7.904007205,7.920333552,7.968725262,7.993262962,7.939829488,7.901134818,7.782985094,7.871799683,7.810822082,8.012091681,8.002399772,7.811359961,7.817325411,7.554031769,7.564167958,7.68916574,7.544004223,7.510250597,7.27511693,7.326978677,7.341792865,7.564737185,7.444005588,7.254239038,7.265902682,7.401706019,7.516794086,7.332561457,7.358277499,7.457152835,7.619706641,7.651124138,7.503333681,7.519112448,7.768494354,7.707583472,7.589277046,7.540959949,7.586345066,7.715776881,7.50247792,7.628096807,7.635101003
MG,0.907298113,0.908064369,0.907698968,0.906463167,0.907980838,0.906567648,0.910166791,0.908302504,0.90943277,0.903775696,0.907894023,0.909792074,0.907505585,0.905948183,0.911010257,0.928855374,1.151791144,1.801138929,2.99109497,4.808718107,7.29621184,10.39694826,13.89979009,17.43744359,19.5699497,20.51748052,20.28234376,19.85019264,19.12292533,18.62281563,17.96607094,17.49693352,17.02839256,16.76665724,16.2057685,15.97648578,15.70660443,15.30623356,15.07612403,15.01830846,14.76297472,14.54980091,15.14068047,14.11112666,13.98262756,13.83173182,13.74259044,13.63950169,13.52638736,13.45952414,13.41641416,13.4051025,13.2358672,13.22729931,13.17598131,13.10794966,13.08329425,12.94926665,12.95443896,12.89307179,12.90693364,12.88855518,12.88616341,12.80754242,12.84003447,12.72232475,12.67912437,12.61357992,12.62215328,12.61795217,12.54904544,12.55924949,12.534624,12.50804443,12.44496794,12.44419752,12.40873116,12.427554,12.34126616,12.31095121,12.24720731,12.27929876,12.29862461,12.16384124,12.23234498,12.12473682,12.09076871,12.04993121,12.03765292,11.99369603,12.00196958,11.94344911,11.95791125,12.02395707,11.99101779,11.91704646,11.85079793,11.84668916,11.81190366,11.71506357,11.70962018,16.75896368,11.64963088,11.72825439,11.61107398,11.61503854,11.51506131,11.53168048,11.4716926,11.50035015,11.51289414,11.48893593,11.47200564,11.41080123,11.36762367,11.37342392,11.41739506,11.34775452,11.31825896,11.28330221,11.16568507,11.15288444,11.07545988,11.05684007,10.93096977,10.80929287,10.84200904,10.80455492,10.87866642,10.73917221,10.72461184,10.68754799,10.67019835,10.702452,10.62996775,10.91528637,10.87387975,10.98933763,10.99423746,10.95813438,10.93006159,10.98864784,10.97444101,10.91469853,10.86347411,10.81057456,10.90337786,10.86478985,10.8157373,10.80428217
MG,0.897237426,0.897038393,0.898366833,0.897890043,0.896620405,0.89953617,0.898252447,0.896164905,0.898115682,0.898515772,0.896029521,0.89913249,0.901723678,0.899512054,0.901110347,0.917856779,1.088492276,1.529379464,2.269686213,3.385162893,4.922819209,6.870408098,9.21769125,11.87997265,14.67941272,17.20025003,18.62879054,19.30167892,18.72000596,18.19067528,17.47111748,16.95047291,16.43284526,16.21454531,15.41154269,15.13895316,14.88192277,14.32909285,14.09668319,13.95631218,13.65490392,13.42662086,13.82833513,12.82773168,12.62346629,12.42203826,12.3046151,12.19177675,12.03377963,11.90149155,11.80701228,11.78907119,11.58150216,11.55106474,11.47298929,11.391071,11.33148913,11.1917073,11.13720223,11.06403415,11.0528223,10.98003273,10.95460546,10.86447438,10.86030742,10.77765753,10.7065436,10.6833876,10.63827715,10.53057461,10.45390881,10.42986116,10.42963055,10.33095664,10.27452515,10.23492769,10.20286496,10.1483106,10.10759106,10.00834103,9.988619418,9.929949115,9.930427312,9.838207275,9.852028662,9.77013342,9.762603561,9.735071361,9.635288448,9.590130648,9.595563716,9.538905347,9.578203928,9.575914112,9.559463595,9.483906779,9.450233992,9.407025068,9.393435693,9.353303659,9.403728349,14.36121153,9.319803151,9.404378384,9.309396928,9.304336605,9.303811991,9.286725783,9.246472917,9.282703568,9.307612505,9.3729944,9.35288192,9.377237611,9.343306761,9.448011973,9.444790322,9.393530409,9.449620358,9.43530142,9.428268228,9.454388105,9.423750315,9.448788466,9.375878802,9.447460464,9.50038752,9.445810269,9.55989589,9.573586759,9.657063817,9.705075166,9.698166833,9.721714573,9.715218657,9.936990157,9.897000763,9.983713861,10.07385507,10.06410242,10.07767892,10.0778963,10.09826643,10.10220148,10.0902516,10.08458533,10.09089373,10.16114489,10.10536048,10.09177752
MG,0.93781248,0.939919657,0.940276902,0.941575961,0.946602288,0.946466843,0.948209248,0.943464473,0.940511521,0.938937261,0.93676118,0.941249014,0.940967422,0.937024469,0.936804804,0.961308936,1.195243518,1.744644237,2.587446486,3.752651398,5.213844836,6.9525903,9.226307296,11.59452986,14.05485439,16.70316356,18.37770018,19.56203237,19.20648557,18.54143564,17.79568416,17.26871291,16.61146995,16.54379373,15.37945196,15.20014803,15.02154931,14.31453603,14.03810942,14.16538096,13.75245279,13.42715118,13.73946091,12.71964457,12.44075467,12.19987192,12.06198176,11.96835859,11.84567047,11.68260885,11.54276604,11.54129143,11.24467551,11.16511252,11.10562591,10.99146492,10.88292879,10.69065765,10.6656141,10.49279072,10.59636305,10.48205888,10.42284054,10.29689889,10.36420709,10.0862138,9.952803203,9.96558879,9.933553436,9.971447014,9.846486477,9.709447397,9.721021156,9.616117923,9.514165182,9.497408477,9.420149209,9.414873983,9.33858476,9.205191916,9.223940862,9.142696792,9.170793196,8.994411148,9.090660658,8.92428013,8.918068245,8.889662269,8.730521702,8.728262934,8.722666358,8.712146241,8.701134232,8.656315425,8.642221486,8.566471044,8.465048678,8.514337331,8.437247752,8.423202483,8.598285368,13.40070388,8.514965579,8.582126507,8.541203517,8.542132731,8.414567302,8.586477506,8.533568359,8.534547195,8.557828302,8.54588107,8.562925261,8.556997038,8.612621238,8.613057676,8.874687599,8.95507679,8.981373532,8.932971432,8.717623043,8.715813836,8.848560204,8.854064077,8.769766176,8.47098817,8.596694116,8.625892347,8.796082212,8.572306191,8.702844112,8.645301593,8.735739188,8.989526435,8.777251088,8.934746496,8.885798207,9.260654339,9.253241453,9.154764553,9.123114354,9.321320992,9.259118267,9.271630942,9.289213905,9.158711045,9.341058838,9.17922151,9.176710563,9.174589907
MG,0.947343125,0.945779193,0.954931761,0.950337669,0.95250627,0.952769954,0.947841028,0.947572486,0.949712692,0.948376171,0.953496517,0.949309456,0.952275179,0.949578751,0.952307692,0.963724706,1.1051311,1.454977664,2.013331769,2.757603888,3.925725463,5.23196453,7.116636175,8.773706134,10.12938575,12.1574585,13.66930828,14.02413538,13.64855287,13.48230849,13.13906664,12.94704559,12.70701564,13.06381039,12.02055115,12.1862251,12.26983558,11.63536341,11.68271366,12.29227695,11.9554572,11.75025024,11.99186312,11.36347117,11.12119813,10.97695739,10.92860861,11.03075153,10.98957492,10.79218062,10.76748605,11.04906047,10.53611086,10.54222257,10.56457948,10.5084348,10.48390195,10.1991104,10.31559843,10.11938496,10.48194429,10.32450706,10.27588148,10.18647351,10.44023335,9.967849612,9.817136946,9.910723867,9.873957083,9.942082195,9.840934952,9.732194987,9.778319739,9.690884863,9.5165514,9.688047088,9.590488734,9.683845605,9.621503026,9.406327108,9.506297827,9.373307645,9.444254879,9.281541115,9.49656648,9.253432844,9.223471655,9.186371984,8.987366918,9.115374557,9.134761134,9.184942473,9.261594967,9.251326943,9.293072522,9.277447414,9.085307849,9.221418216,9.100151266,9.008547742,9.199737378,14.27892121,9.055280282,9.121276651,9.050589199,9.148857606,8.902211111,9.113365877,9.042049065,9.022803027,9.101088711,9.038913733,9.035270381,8.995182471,9.084704243,9.034720796,9.431081047,9.445902813,9.223600689,9.228687535,9.000232363,8.876149302,9.013005506,8.948493538,8.890283349,8.627782209,8.712777229,8.673806424,8.868017103,8.617858256,8.637191587,8.600854592,8.851122052,9.162266444,8.97361919,9.012914248,8.930347333,9.341448483,9.511544106,9.416479934,9.374976035,9.396953735,9.213661242,9.012297643,9.064185484,9.107314783,9.372871333,8.691540557,8.910003902,8.876436715
ALE1,0.877704948,0.882221918,0.883432979,0.881043769,0.883618006,0.882472137,0.881786932,0.880398669,0.885240623,0.880923243,0.883519325,0.882852213,0.881035866,0.880860381,0.879700947,0.905446938,1.064667463,1.516320033,2.419857507,3.866951117,6.152121329,9.07955075,12.6086155,16.45102694,19.90527985,22.49349657,23.7074971,23.38020195,22.70371504,21.88351181,21.21699939,20.42691271,19.75393835,19.22260016,18.66073103,18.25805673,17.64594215,17.29987921,16.85518938,16.56331801,16.20502076,15.84069384,15.83750722,15.06850707,14.79090084,14.54411146,14.29120636,14.11363914,13.81474587,13.64417776,13.50884604,13.3160934,13.1760211,13.0182859,12.98310206,12.79866171,12.67107242,12.50239167,12.44068211,12.35111354,12.2002999,12.10788552,12.10649489,12.09975624,11.922627,11.8961405,11.73399408,11.7512212,11.63280037,11.6013129,11.52678517,11.37872853,11.43356075,11.29889037,11.3408288,11.32949394,11.26076262,11.17171819,11.1553267,11.07546881,11.09844314,11.1920302,11.09073714,11.18119215,11.26385253,11.07112026,11.05495498,11.04276832,10.98423064,11.0181686,10.92076713,10.90196665,10.93536189,10.87430003,10.91626188,10.81231444,10.72529979,10.72174466,11.02000616,11.00427351,11.04795183,11.03345841,11.09534868,11.04387295,11.13033025,11.09968749,11.09800158,11.15799103,11.10671489,11.29215419,11.1686378,11.32970091,11.30942335,11.44808347,11.48413287,12.49256629,12.57027131,12.43763299,12.55565008,12.52343839,12.59598402,12.53514266,12.41484672,12.43152341,12.39044633,12.32350516,12.41433354,12.32800071,12.39277688,12.97691498,12.98978888,12.94481516,12.99159099,13.0399746,13.01331843,13.05867,13.06690613,13.18475796,13.20115011,13.30931792,13.39054782,13.42163985,13.5886627,13.62817419,13.59251019,13.68978781,13.69396506,13.82207473,13.88588653,13.89684959
ALE1,0.878282828,0.878166571,0.878501545,0.879355614,0.87771429,0.88075982,0.883335523,0.874925892,0.878266699,0.87653394,0.881209307,0.880063324,0.880232068,0.87601323,0.875962186,0.908349351,1.078854054,1.552757764,2.437800573,3.78237958,5.857614823,8.510008017,11.65490417,15.12809023,18.2631004,20.59885321,21.99180848,21.89862857,21.15984126,20.16073193,19.51127242,18.74312218,18.01620327,17.40599033,16.84220716,16.42813093,15.85460387,15.36051138,14.98536456,14.62064587,14.31168618,13.97224964,13.87957412,13.1611006,12.89501033,12.63054618,12.42837305,12.24097459,11.98677058,11.82879904,11.661983,11.52057347,11.33367552,11.24604292,11.17393019,11.0035253,10.87658651,10.75010276,10.70738212,10.58701298,10.51260476,10.42331372,10.37192742,10.3529168,10.17822597,10.1569001,10.05793928,10.04543381,9.959618571,9.890211977,9.877435205,9.740898273,9.785686953,9.665926405,9.692807492,9.70679365,9.626552879,9.538248827,9.534923615,9.484179364,9.462710289,9.505596504,9.39877912,9.469488717,9.524299637,9.34127154,9.347865033,9.363905125,9.28189854,9.291199397,9.219998999,9.160238442,9.177061128,9.12568056,9.098878214,9.000978009,8.90836902,8.894258869,9.00425184,8.951385536,8.929546123,8.904078455,8.887405343,8.840193116,8.840869821,8.738643202,8.722129837,8.603858813,8.44044108,8.425601139,8.230059576,8.193533806,7.862399751,7.982150772,7.879813005,9.297719374,9.32929482,9.291232785,9.326551832,9.341396629,9.362458675,9.305609949,9.27165542,9.245754377,9.215191944,9.168229714,9.228646922,9.19003236,9.2424587,9.398096564,9.369147336,9.360090624,9.363772565,9.401880177,9.349918564,9.358577642,9.356031612,9.463902415,9.539870023,9.5886315,9.690908069,9.707280728,9.776476617,9.793743187,9.768788203,9.865749384,9.92680335,9.924011333,9.975230353,10.0259843
