,ppm,hm,sensor,strain,max
0,0.01,Cu,cusC,ALE1,35.533131053083245
1,0.01,Cu,cusC,ALE1,38.78130024115757
2,0.01,Cu,cusC,ALE1,37.06221704824731
3,0.02,Cu,cusC,ALE1,45.716243148978585
4,0.02,Cu,cusC,ALE1,45.61626596543952
5,0.02,Cu,cusC,ALE1,46.72056733252839
6,0.03,Cu,cusC,ALE1,51.84854257953896
7,0.03,Cu,cusC,ALE1,43.48420135105689
8,0.03,Cu,cusC,ALE1,39.65098824118089
9,0.04,Cu,cusC,ALE1,49.042471042471036
10,0.04,Cu,cusC,ALE1,64.90613351406303
11,0.04,Cu,cusC,ALE1,45.88664973
12,0.06,Cu,cusC,ALE1,66.81325241
13,0.06,Cu,cusC,ALE1,59.87178139779296
14,0.06,Cu,cusC,ALE1,56.11747446508152
15,0.1,Cu,cusC,ALE1,59.020121189694244
16,0.1,Cu,cusC,ALE1,55.95287805447017
17,0.1,Cu,cusC,ALE1,37.96403557448595
18,0.2,Cu,cusC,ALE1,60.68926370418424
19,0.2,Cu,cusC,ALE1,63.552753461228036
20,0.2,Cu,cusC,ALE1,50.340397028376564
21,0.3,Cu,cusC,ALE1,57.641345766313705
22,0.3,Cu,cusC,ALE1,59.11990459246515
23,0.3,Cu,cusC,ALE1,51.521701868322324
24,0.4,Cu,cusC,ALE1,49.30033944192057
25,0.4,Cu,cusC,ALE1,49.63916083916084
26,0.4,Cu,cusC,ALE1,42.665571975916805
27,0.6,Cu,cusC,ALE1,24.70077474476866
28,0.6,Cu,cusC,ALE1,25.06300801195566
29,0.6,Cu,cusC,ALE1,24.753157474020778
30,1,Cu,cusC,ALE1,39.523439176602885
31,1,Cu,cusC,ALE1,35.65564114182147
32,1,Cu,cusC,ALE1,35.03123575622705
33,2,Cu,cusC,ALE1,23.71492280986852
34,2,Cu,cusC,ALE1,25.850206068418103
35,2,Cu,cusC,ALE1,28.400959554945718
36,0.01,Cu,cusC,ALE2,3.800131728639004
37,0.01,Cu,cusC,ALE2,4.6957552494919845
