time:,merR_ALE1_Hg,merR_ALE1_As,merR_ALE1_Cd,merR_ALE1_Pb,merR_ALE1_Cu,merR_ALE2_Hg,merR_ALE2_As,merR_ALE2_Cd,merR_ALE2_Pb,merR_ALE2_Cu,merR_ALE3_Hg,merR_ALE3_As,merR_ALE3_Cd,merR_ALE3_Pb,merR_ALE3_Cu,merR_ALE4_Hg,merR_ALE4_As,merR_ALE4_Cd,merR_ALE4_Pb,merR_ALE4_Cu,merR_ALE5_Hg,merR_ALE5_As,merR_ALE5_Cd,merR_ALE5_Pb,merR_ALE5_Cu,merR_MG_Hg,merR_MG_As,merR_MG_Cd,merR_MG_Pb,merR_MG_Cu,arsR_ALE1_Hg,arsR_ALE1_As,arsR_ALE1_Cd,arsR_ALE1_Pb,arsR_ALE1_Cu,arsR_ALE2_Hg,arsR_ALE2_As,arsR_ALE2_Cd,arsR_ALE2_Pb,arsR_ALE2_Cu,arsR_ALE3_Hg,arsR_ALE3_As,arsR_ALE3_Cd,arsR_ALE3_Pb,arsR_ALE3_Cu,arsR_ALE4_Hg,arsR_ALE4_As,arsR_ALE4_Cd,arsR_ALE4_Pb,arsR_ALE4_Cu,arsR_ALE5_Hg,arsR_ALE5_As,arsR_ALE5_Cd,arsR_ALE5_Pb,arsR_ALE5_Cu,arsR_MG_Hg,arsR_MG_As,arsR_MG_Cd,arsR_MG_Pb,arsR_MG_Cu,cusC_ALE1_Hg,cusC_ALE1_As,cusC_ALE1_Cd,cusC_ALE1_Pb,cusC_ALE1_Cu,cusC_ALE2_Hg,cusC_ALE2_As,cusC_ALE2_Cd,cusC_ALE2_Pb,cusC_ALE2_Cu,cusC_ALE3_Hg,cusC_ALE3_As,cusC_ALE3_Cd,cusC_ALE3_Pb,cusC_ALE3_Cu,cusC_ALE4_Hg,cusC_ALE4_As,cusC_ALE4_Cd,cusC_ALE4_Pb,cusC_ALE4_Cu,cusC_ALE5_Hg,cusC_ALE5_As,cusC_ALE5_Cd,cusC_ALE5_Pb,cusC_ALE5_Cu,cusC_MG_Hg,cusC_MG_As,cusC_MG_Cd,cusC_MG_Pb,cusC_MG_Cu,zntA_ALE1_Hg,zntA_ALE1_As,zntA_ALE1_Cd,zntA_ALE1_Pb,zntA_ALE1_Cu,zntA_ALE2_Hg,zntA_ALE2_As,zntA_ALE2_Cd,zntA_ALE2_Pb,zntA_ALE2_Cu,zntA_ALE3_Hg,zntA_ALE3_As,zntA_ALE3_Cd,zntA_ALE3_Pb,zntA_ALE3_Cu,zntA_ALE4_Hg,zntA_ALE4_As,zntA_ALE4_Cd,zntA_ALE4_Pb,zntA_ALE4_Cu,zntA_ALE5_Hg,zntA_ALE5_As,zntA_ALE5_Cd,zntA_ALE5_Pb,zntA_ALE5_Cu,zntA_MG_Hg,zntA_MG_As,zntA_MG_Cd,zntA_MG_Pb,zntA_MG_Cu,cadC_ALE1_Hg,cadC_ALE1_As,cadC_ALE1_Cd,cadC_ALE1_Pb,cadC_ALE1_Cu,cadC_ALE2_Hg,cadC_ALE2_As,cadC_ALE2_Cd,cadC_ALE2_Pb,cadC_ALE2_Cu,cadC_ALE3_Hg,cadC_ALE3_As,cadC_ALE3_Cd,cadC_ALE3_Pb,cadC_ALE3_Cu,cadC_ALE4_Hg,cadC_ALE4_As,cadC_ALE4_Cd,cadC_ALE4_Pb,cadC_ALE4_Cu,cadC_ALE5_Hg,cadC_ALE5_As,cadC_ALE5_Cd,cadC_ALE5_Pb,cadC_ALE5_Cu,cadC_MG_Hg,cadC_MG_As,cadC_MG_Cd,cadC_MG_Pb,cadC_MG_Cu
0,0.094120159,0.117150694,0.084540748,0.036896491,-0.099063647,0.034507828,0.026576579,0.014932686,0.024712222,-0.014260777,-0.609630549,2.942167849,-1.292567147,-2.480562959,1.087875582,-1.709643705,0.726703671,-1.572580107,-0.697599377,-0.596885214,0.037235868,0.003198519,-0.008494865,-0.006336006,-0.003178697,0.010914898,0.008225371,0.014413426,0.001364321,0.009128569,-0.010501482,-0.031924718,-0.014353194,-0.006131451,-0.037229225,-0.013004838,0.046340943,-0.007887941,-0.003238249,-0.029803042,0.446387857,1.97527303,-0.317006572,-2.224261226,0.12102064,-1.430205152,2.224012965,-1.016548164,-0.901214895,-0.72928857,-0.024911068,-0.042499491,-0.04545614,-0.030224874,-0.068127837,-0.015330727,-0.005984632,0.005117235,0.014002969,-0.017070495,-0.418540976,6.675305148,1.102457505,-2.31600678,-1.261638985,0.114703787,0.094440425,0.087371381,0.03036078,0.031229054,0.028317998,0.028878324,0.059117194,0.031908898,-0.087362244,0.090354285,0.086449964,0.090638643,0.057022918,-0.136274433,-1.06273047,0.274673541,-0.613210226,-0.961892895,-1.448806308,0.09393783,0.082671141,0.055691625,0.064206237,0.009013815,0.037898625,-0.000614002,0.058177164,0.063414939,-0.033237245,0.687731631,2.557212678,-0.440221508,-2.73677239,1.41272536,-1.507950777,1.883584143,-1.035930071,-0.899587278,-0.782070212,-0.084631155,0.238285426,0.002359294,0.085306572,-0.00042067,0.032367431,0.09809013,0.12298719,0.112056925,-0.241363035,-0.034788203,0.238555523,0.152341971,0.183102767,0.098270229,-0.006078051,0.044411676,0.007213634,0.005561598,-0.016709956,0.06536598,2.661149055,0.594459889,-2.61047903,-0.895423289,-0.006201112,-0.003548871,-0.000905364,-0.008003871,-0.015494268,0.010130753,0.003346662,-0.002647209,-0.001864218,-0.005449788,-0.960278211,0.803818324,-0.603909518,-0.875922704,-0.769077433,-0.016842201,-0.018863017,-0.020836613,-0.015494547,-0.029790612
0.184015556,0.036850488,0.049460252,0.025541517,0.014381441,-0.015331575,0.012641354,-0.000670416,-0.001133329,-0.002152448,-0.003343754,-1.33270536,-2.116970113,-0.545927452,-2.150794331,-0.138678699,-0.504040185,-3.383651119,-0.190538651,-0.532005249,0.612256392,0.014153588,-0.00774435,-0.00324476,-0.001035537,-0.003228975,0.013458347,-0.002209884,-0.006097807,-0.009892575,-0.014190227,-0.020012917,-0.024294953,-0.019430807,-0.005866028,-0.020030349,0.00688395,0.030193999,0.003373411,0.007812683,-0.001233334,-0.378596258,-0.990267228,-0.343320572,-1.969554363,0.692145571,-0.201138355,-3.995543313,0.682932957,-0.572815398,0.876809466,-0.012331975,-0.014487957,-0.016883508,-0.024856598,-0.033010644,-0.030171257,-0.004721726,-0.013208143,-0.005684375,-0.027990369,-0.235284318,-1.751958237,-0.726725407,-2.116149713,-0.238587916,0.063708857,0.032343052,0.030187351,-0.012654751,0.023294664,-0.021849832,-0.012326015,0.011004745,-0.035188383,-0.030746913,0.007899741,0.012041532,0.009433867,-0.018054838,-0.05103698,-0.015478991,-3.753283796,0.617867802,-0.626560566,0.089256403,0.020137377,0.019135662,0.010136591,0.020178092,0.014011658,-0.016753774,0.000606774,0.043094208,0.029153701,0.004256304,-0.463655471,-1.473555845,-0.012146952,-2.278927363,0.136337842,-0.063769084,-3.158856037,0.638045928,-0.577823979,1.005986629,-0.131882614,0.046065458,-0.068263031,-0.077145988,-0.069585393,-0.058218634,-0.011890782,0.041998595,0.005408838,-0.196721605,-0.026425918,0.138983436,0.063609959,0.127711105,0.060585383,-0.01099378,0.010230505,-0.011541412,-0.009593142,-0.016541324,-0.21656947,-1.254144996,-0.519950833,-2.303327542,0.73661823,-0.019317355,-0.013963941,-0.023896242,-0.013018603,-0.020036463,0.000611567,0.003261349,-0.002598921,0.00294115,-0.000221883,-0.092685305,-3.47934899,0.642773616,-0.61887585,0.558612976,0.006541774,0.011235429,0.010555977,0.00386096,-0.000922231
0.368029722,-0.020746344,-0.027373525,-0.017155039,-0.018247852,0.031057913,-0.017655228,-0.009966394,-0.017248184,-0.012875932,-0.016371945,-0.254660697,-0.738713176,0.465292965,5.133207753,-0.44886552,-0.030838825,0.836544686,0.354428485,-0.914190937,0.862759714,-0.004491318,-0.00218574,0.002104181,0.00425415,-0.008608707,-0.001904334,-0.022993391,-0.016368404,-0.015757248,-0.019824201,-0.008571412,-0.016156047,-0.013625096,-0.023091658,-0.019461547,0.001941053,-0.010103406,-0.002470895,-0.008776517,-0.001106399,0.078357462,-0.378751101,0.424343709,4.816125532,-0.57482618,0.013762963,0.393330212,0.935425031,-1.256642974,0.986299579,0.004118842,0.013405714,0.007078255,0.004853381,-0.003123348,0.007540235,0.011477051,0.011563256,0.01512127,0.003969007,0.333579482,-1.31545615,-0.056743108,5.182418456,0.279056982,-0.018931468,-0.017935937,-0.012580022,-0.016838599,-0.011434759,-0.017313541,-0.021466525,-0.010404721,-0.009306839,-0.005230804,-0.015656236,-0.03893442,-0.033350542,-0.027448296,0.026194302,0.272110019,1.26948827,1.168028874,-1.396260154,0.903596646,-0.002926056,0.005486356,0.015324317,0.009114354,0.030111911,-0.005480299,-0.004169224,-0.033347347,-0.039701619,-0.021522274,0.013563355,-0.597371221,0.388244542,5.688394842,-0.863328237,0.086936808,0.259678566,0.655694682,-1.08204515,0.955699925,-0.01251306,-0.019266418,-0.023783047,-0.052458465,-0.012731318,-0.072116541,-0.032053382,-0.016631005,-0.043424629,-0.052472094,-0.018122238,0.007744516,-0.018668682,-0.01823451,-0.024949171,0.006321548,-0.001099869,-0.001559334,0.011724383,-0.005027229,0.220099316,-0.436054189,0.280744344,5.9141087,0.035749051,0.011415133,0.002346704,0.008342917,0.017127503,0.011435708,-0.018739316,-0.018517781,-0.007574808,-0.01180835,-0.015311747,0.091702128,0.827534261,1.061732387,-1.287341765,0.793058226,0.007139467,0.011090731,-0.000203675,0.008584748,0.004491315
0.552038333,-0.047141286,-0.049526802,-0.043827609,-0.023078861,0.040970312,-0.029509416,-0.014565177,-0.011950709,-0.018283504,0.000349965,0.770120703,-1.085409283,0.773344072,-0.209041416,-0.541177881,1.929255329,1.137213427,2.660514003,1.083710784,-0.020486583,-0.009163938,0.003357601,0.00217436,0.00420592,0.002264619,-0.013888058,0.003215932,-0.001093866,0.000978521,-0.00226431,0.008324766,0.021608895,0.020964439,0.011655596,0.026453597,-0.002855925,-0.030172586,-0.001998377,0.002122938,0.009918656,0.061887964,-0.110160019,0.541106584,-0.228573297,-0.626412386,3.558182118,0.787870903,0.859415379,1.318242771,0.128070397,0.00453816,-0.014171364,0.002126603,0.004263203,0.01389211,0.01521714,-0.003211241,-0.001692058,-0.009048038,0.022902728,0.358466617,-0.844088779,0.036908234,-0.180212966,0.478745349,-0.06368475,-0.045810113,-0.03595062,-0.012066696,-0.020046838,-0.017353428,-0.021549964,-0.032222325,-0.024575793,0.042129892,-0.050799787,-0.043580197,-0.04620675,-0.021204041,0.063538971,2.367661938,1.262797431,0.147173075,1.587540821,1.29679961,-0.062432656,-0.053632958,-0.045713908,-0.057845215,-0.029295,-0.019228772,7.68761E-05,-0.040026569,-0.023418787,0.010300758,-0.023047534,-0.521256205,0.219396373,-0.295960912,-0.990184454,3.185526874,0.540570391,1.466069616,1.25762527,-0.038863903,0.084808765,-0.120932112,0.004881139,-0.013423974,0.028314683,-0.034095264,-0.031675105,-0.068790574,-0.039007273,0.128652778,0.039791616,-0.11389158,-0.067833234,-0.093565208,-0.036726101,0.002381848,-0.018309262,0.007799808,-0.003824373,0.021766033,0.187257047,-0.031331776,0.339186837,-0.46344141,-0.082852289,0.00703934,-0.003162591,-0.000989445,-0.002983066,0.006623907,-0.013725598,-0.007589346,-0.012581933,-0.006948575,-0.005101289,2.393990426,1.063807015,0.168650066,1.370129467,0.664693671,-0.003325334,-0.014348725,-0.005036905,-0.005886624,-0.001328391
1.278510278,-0.063083017,-0.089710619,-0.049099617,-0.00995122,0.042366997,1.54617E-05,-0.001374591,0.015399536,0.008599662,0.033626511,1.426875903,0.998924723,0.599857562,-0.292809047,0.040846517,0.315267386,0.683189335,-1.25182373,1.060084779,-0.85764431,-0.0377342,0.00337397,0.007461084,-0.001088527,0.01275176,-0.008580852,0.013761972,0.009146651,0.023306981,0.02715017,0.030761045,0.050766823,0.026444658,0.023433541,0.050267524,0.007035761,-0.036258949,0.008983802,0.002079146,0.022224119,-0.208037024,-0.496094682,-0.30512315,-0.393736646,0.388072355,-1.940601574,0.590329232,-1.461225203,1.412430497,-1.261890871,0.028586042,0.057753097,0.05313479,0.045964888,0.090369719,0.022744609,0.002440549,-0.00178029,-0.014391827,0.018189128,-0.038220806,-2.763801982,-0.355897224,-0.570048997,0.742424571,-0.095796426,-0.063037428,-0.06902809,0.011199266,-0.02304212,0.028198802,0.02646418,-0.027494893,0.037162117,0.081210069,-0.031798003,-0.015976879,-0.020515219,0.009684258,0.097578139,-1.561562496,0.946324554,-1.319859525,1.397172794,-0.84084635,-0.048716495,-0.053660201,-0.035438625,-0.035653467,-0.023842384,0.00356422,0.004099576,-0.027897456,-0.029448235,0.040202457,-0.214591981,0.034970592,-0.155272455,-0.376734177,0.304449489,-1.70074382,0.475022937,-1.723880156,1.301831137,-1.140752439,0.144218064,-0.144152355,0.084805645,0.057721855,0.054422699,0.132063008,-0.02247086,-0.079564206,-0.035033861,0.361903956,0.039544744,-0.271391895,-0.129450014,-0.199014153,-0.09718034,0.008368434,-0.03523305,-0.001912697,-0.003868466,0.016512476,-0.256152873,-0.939618095,-0.694440237,-0.536860719,0.205908297,0.007063994,0.018328699,0.017448133,0.006878036,0.017471116,0.021722594,0.019499115,0.025402871,0.017679992,0.026084707,-1.432729038,0.78418939,-1.269246552,1.412010853,-1.24728744,0.006486294,0.010885582,0.015521216,0.008935463,0.027549919
1.462516667,-0.068495118,-0.110877465,-0.086164977,-0.000917622,0.013474147,-0.028527499,-0.006025352,-0.011793589,-0.018254589,-0.007201191,3.371048227,2.507772948,1.49504463,-2.479844359,-0.299868317,3.08350233,1.244430631,-0.51446177,-0.776747479,-0.381224093,-0.043651033,-0.002062764,0.002217596,0.004256984,0.01289646,-0.036320198,0.003397694,-0.006233931,0.006371797,0.015488565,0.05777701,0.116752524,0.071929204,0.069666232,0.095973671,0.001909677,-0.052071341,0.008696185,0.013109803,0.050974572,0.266730633,-1.404852195,0.52396657,-2.14783669,-0.2911826,-1.471478454,1.135108405,-0.757179948,-0.559677362,-0.412720253,0.036659724,0.052839221,0.070682991,0.046912026,0.090666403,0.041431388,0.018457198,0.026739479,-0.002996948,0.038044832,0.602589632,-3.54029753,0.675782643,-2.447005073,1.551741034,-0.102097266,-0.052693319,-0.068743163,0.044636094,-0.034312939,0.02365631,0.022248947,-0.058016107,0.021770421,0.092547649,-0.031789584,-0.006851537,-0.016226319,0.040693487,0.083766245,-1.079041748,1.827476135,-0.413096813,-0.917939253,0.240355341,-0.030416261,-0.02163149,-0.010046694,0.009001545,-0.001067775,-0.002331206,0.016471867,-0.070746544,-0.05843824,0.080472587,0.191878882,2.431380017,0.392711348,-2.491271537,-0.618811365,-1.064928302,0.763996565,-0.849066805,-0.483206683,-0.145815074,0.148952716,-0.196972223,0.147500421,0.115651099,0.053440959,0.150117512,0.007829967,-0.081933076,-0.033867655,0.59526186,0.05147264,-0.355913506,-0.168691177,-0.244312921,-0.088614239,0.001946652,-0.063431535,0.008184568,-0.018898168,0.017338812,0.273635362,-2.012623697,0.214126216,-2.501134361,0.253127656,0.011446803,0.013096883,0.003393323,0.011919874,0.028021854,0.017088999,0.008719655,0.025267962,0.012805879,0.031282882,-0.991934508,1.459497281,-0.55920987,-0.630288672,-0.522419179,0.001411652,0.01073398,0.005126699,0.004095559,0.026965291
1.646528333,-0.073892601,-0.120832667,-0.075394064,0.027708663,-0.009890866,-0.051807625,-0.019534727,-0.022585278,-0.012961729,0.008055994,7.597169184,3.230898448,3.046258568,-2.846475675,-1.22314696,11.5389959,1.75090614,3.303784045,2.179668606,0.0962668,-0.056888358,0.014396266,-0.003014323,0.009542372,0.017758803,-0.066123695,0.003517991,-0.001154636,0.011967702,0.009901573,0.068918239,0.117168463,0.07184949,0.069696869,0.101789403,0.01193756,-0.066768475,0.008893043,0.018661319,0.045084611,1.479727543,2.391042017,1.656825941,-2.507701353,-0.414730755,0.821736036,5.613718347,-0.150002242,4.028292427,-0.86201894,0.040908985,0.058037869,0.064579847,0.051284215,0.096145058,0.06001959,0.039538681,0.041859768,0.022268383,0.069196624,2.175932453,6.942795313,-0.547814135,-2.954755854,3.962818525,-0.122071532,-0.074769304,-0.077448828,0.068468429,-0.031120271,0.055644129,0.044166275,-0.066533359,0.067961404,0.069076727,-0.023668125,-0.00669602,-0.011950276,0.076074701,0.073102116,1.039542946,6.999108119,0.096007146,5.233381331,1.964723595,-0.02586502,-0.012616333,-0.00976622,0.015013156,-0.020592769,0.015614044,0.049759626,-0.02252543,0.006473376,0.185823245,1.893018076,2.863242399,1.099716144,-2.842447268,-1.719351634,1.127482671,3.307473878,-0.025395578,2.108175726,-0.014578657,0.125635004,-0.276332539,0.177482901,0.199098292,0.044428948,0.125104135,0.035628714,-0.120057026,0.011183134,0.812915994,0.030665655,-0.429183807,-0.191455215,-0.319364659,-0.100765577,-0.008426811,-0.080855066,-0.001839012,-0.029109427,0.017271518,1.967685147,3.879559757,1.470017471,-2.818335084,-0.100077951,0.002759522,0.007791096,-0.006022457,0.001695527,0.033618151,0.027002454,0.046521781,0.058201328,0.052409341,0.041477216,1.59357311,6.203781816,0.132772292,4.304934073,-0.273707424,0.015083421,0.020814527,0.020681354,0.018997295,0.055873601
1.830538056,-0.074110024,-0.131819789,-0.080430109,0.057092618,-0.005123826,-0.051740076,-0.006254655,-0.011664169,-0.002216263,-0.009773155,8.108798269,4.11296811,1.811125163,-0.388872511,-2.202170551,13.248187,0.388113252,4.508398215,-1.3563093,0.535872989,-0.081577326,-0.029551297,-0.019086127,-0.006393777,-0.008663807,-0.09246085,0.003654622,-0.001181102,0.011929845,0.015851505,0.068732312,0.103070853,0.060253303,0.05829821,0.107633975,-0.002936688,-0.077346246,0.008590064,0.00757792,0.051010838,0.151980558,0.019751803,-0.164469012,-0.222549886,-1.302334929,1.764039646,0.03229752,0.203867419,-1.249146548,-0.885055234,0.068540149,0.091602138,0.092920905,0.081678065,0.136842449,0.07479767,0.060781279,0.074960946,0.032802991,0.119857238,1.25916408,-2.109968149,-1.414640393,-0.078026109,3.440950779,-0.152779823,-0.107950713,-0.101491677,0.079049942,-0.057965963,0.064756978,0.021324741,-0.066753322,0.078177128,0.063708127,-0.027663477,-0.002409128,-0.016238974,0.082004879,0.05190656,1.147746981,0.650573548,-0.039104499,-1.798815158,1.98851766,-0.016763123,-0.012497896,-0.00481031,0.047699354,-0.010342548,0.120445608,0.124327094,0.033260678,0.075415014,0.246370454,0.629397286,3.720729611,-0.305746482,0.072483043,-2.65044497,1.646399081,-0.444740323,0.019957121,-0.958582927,-0.598936723,0.018278778,-0.490873202,0.156723371,0.141042074,-0.001311648,0.20181341,0.088706095,-0.067132027,0.038704964,0.983232877,-0.010213147,-0.504653288,-0.238197361,-0.419196517,-0.098272015,0.007992675,-0.086420386,0.002726763,-0.013418056,0.027578063,0.650963235,-0.526682415,0.205180425,0.037930944,-0.229455672,-0.001573356,0.029161993,0.012608185,0.016803208,0.049359506,0.017660579,0.046540368,0.039226103,0.032649979,0.046727619,2.007967681,0.066217557,-0.238227602,-1.374308809,0.399625614,0.014784766,0.02570643,0.02557817,0.005107318,0.044027475
2.014545556,-0.106031699,-0.167629912,-0.090594641,0.068090508,-0.037946632,-0.052650666,-0.010887865,-0.028156765,-0.002373426,-0.015571613,9.016548566,-0.982881508,2.240108361,-1.055888326,-1.187645523,15.50825253,2.470804078,5.296456423,0.330162284,-1.328817768,-0.095531257,-0.018565308,-0.003009189,-0.006431214,0.001995804,-0.070950279,0.013985167,0.004067036,0.039937604,0.039209034,0.069141083,0.12611081,0.088794299,0.075788336,0.135878355,0.007149422,-0.074080905,0.020472799,0.013096299,0.085443786,0.114625483,0.23948482,0.374143962,-1.00631475,-0.684976647,5.372369515,3.772017771,-1.531921626,1.08751759,-2.414306766,0.060854923,0.064205212,0.08164141,0.075399317,0.130523429,0.07845549,0.060616361,0.058529402,0.029313964,0.114830012,1.203164409,-1.756480688,-1.013642745,-0.949320164,3.744129648,-0.157730808,-0.119450503,-0.110939733,0.108647737,-0.05493768,0.078442295,0.047399584,-0.057895774,0.113814595,0.054289249,-0.011971176,0.00655097,0.000855955,0.117788606,0.063332977,2.43558742,-2.094294735,-2.079608541,0.722031285,1.257823147,-0.003179283,0.001356394,0.005403624,0.053924135,-0.018621292,0.130238849,0.126964505,0.05029941,0.035873047,0.242020727,0.428188779,-0.185405176,-0.149685021,-0.679067764,-2.151708314,5.724707435,2.914044558,-0.036518302,0.930769224,-2.234435008,-0.078885956,-0.670981748,0.142583319,0.072821991,-0.071262728,0.293222911,0.207590432,0.006922441,0.137867711,1.178132343,-0.04691472,-0.543488348,-0.29131678,-0.508904826,-0.090589235,0.048438693,-0.0694094,0.036428945,0.027972895,0.065705855,0.279721956,-0.083961023,0.226914779,-0.89450613,-0.140202274,0.020166719,0.06136432,0.031245757,0.026910817,0.070170755,0.032665209,0.057486851,0.048632719,0.052449941,0.082706048,5.381825576,-1.623897544,-2.109888823,0.882887294,-1.126531339,-0.003552756,0.015554912,-0.005750898,-0.009204397,0.031595548
2.198560833,-0.101018755,-0.212896104,-0.095522141,0.069123342,-0.071146925,-0.086802076,-0.010950762,-0.02797675,0.008409359,-0.033467269,9.634618681,-3.745703405,2.552492341,-2.786617454,-1.42715776,16.24378571,2.899930915,6.546161019,-0.94783642,-0.585046282,-0.10892119,-0.024051959,-0.029700334,-0.01171774,-0.008924888,-0.106925831,-0.001266894,0.004133376,0.017583471,0.033523973,0.079957435,0.155839567,0.077322314,0.08176592,0.158817397,-0.007876654,-0.078949108,0.014315114,0.007489454,0.068697501,0.518349016,0.139205576,0.501368971,-2.454136508,-0.694966912,6.730371821,7.362290096,-0.2340241,-0.563129664,-1.535957135,0.072682141,0.080831943,0.064911885,0.063142264,0.137112153,0.096716406,0.071571391,0.071981925,0.030181703,0.141312294,1.326341497,-1.370431087,-2.14181464,-2.783231545,3.891314926,-0.219192639,-0.131190243,-0.125132139,0.094639247,-0.067661458,0.064862144,0.01625045,-0.080165932,0.083115083,0.005221587,-0.012136732,0.001787834,0.005076591,0.108715738,0.032685551,4.755360517,9.704890133,-1.174798434,-1.243528341,3.059881417,-0.00323824,-0.007528334,0.000419673,0.060301858,-0.029662231,0.27914531,0.208967432,0.167332006,0.136732637,0.339305602,0.973436202,-2.432339771,-0.070987787,-2.462458952,-2.104218492,5.226073434,3.741677817,0.518819174,-0.380293066,-1.429013588,-0.127501611,-0.774971127,0.187921852,0.03147818,-0.044756494,0.332115787,0.284938675,0.063493758,0.22053547,1.31046306,-0.046880849,-0.552330371,-0.29237635,-0.582095767,-0.046147541,0.043447281,-0.085848907,0.027322369,0.002451219,0.050428411,0.846957371,0.306520098,0.457647615,-2.611318231,0.240514833,0.020166719,0.05576751,0.026588098,0.031922233,0.070617562,0.003104465,0.030437516,0.024596377,0.022931171,0.04208023,6.453182547,7.857310737,-0.895443368,-0.811190624,-0.010900675,-0.004551884,0.020331148,0.014612187,0.005343956,0.036698872
