,Hg,Pb,As,Cd,Cu
1,0.05,0.5,0.1,0.025,0.5
2,0.05,0.5,0.1,0.025,1
3,0.05,0.5,0.1,0.025,2
4,0.05,0.5,0.1,0.05,0.5
5,0.05,0.5,0.1,0.05,1
6,0.05,0.5,0.1,0.05,2
7,0.05,0.5,0.1,0.1,0.5
8,0.05,0.5,0.1,0.1,1
9,0.05,0.5,0.1,0.1,2
10,0.05,0.5,0.1,0.4,0.5
11,0.05,0.5,0.1,0.4,1
12,0.05,0.5,0.1,0.4,2
13,0.05,0.5,0.3,0.025,0.5
14,0.05,0.5,0.3,0.025,1
15,0.05,0.5,0.3,0.025,2
16,0.05,0.5,0.3,0.05,0.5
17,0.05,0.5,0.3,0.05,1
18,0.05,0.5,0.3,0.05,2
19,0.05,0.5,0.3,0.1,0.5
20,0.05,0.5,0.3,0.1,1
21,0.05,0.5,0.3,0.1,2
22,0.05,0.5,0.3,0.4,0.5
23,0.05,0.5,0.3,0.4,1
24,0.05,0.5,0.3,0.4,2
25,0.05,0.5,0.6,0.025,0.5
26,0.05,0.5,0.6,0.025,1
27,0.05,0.5,0.6,0.025,2
28,0.05,0.5,0.6,0.05,0.5
29,0.05,0.5,0.6,0.05,1
30,0.05,0.5,0.6,0.05,2
31,0.05,0.5,0.6,0.1,0.5
32,0.05,0.5,0.6,0.1,1
33,0.05,0.5,0.6,0.1,2
34,0.05,0.5,0.6,0.4,0.5
35,0.05,0.5,0.6,0.4,1
36,0.05,0.5,0.6,0.4,2
37,0.05,1,0.1,0.025,0.5
38,0.05,1,0.1,0.025,1
39,0.05,1,0.1,0.025,2
40,0.05,1,0.1,0.05,0.5
41,0.05,1,0.1,0.05,1
42,0.05,1,0.1,0.05,2
43,0.05,1,0.1,0.1,0.5
44,0.05,1,0.1,0.1,1
45,0.05,1,0.1,0.1,2
46,0.05,1,0.1,0.4,0.5
47,0.05,1,0.1,0.4,1
48,0.05,1,0.1,0.4,2
49,0.05,1,0.3,0.025,0.5
50,0.05,1,0.3,0.025,1
51,0.05,1,0.3,0.025,2
52,0.05,1,0.3,0.05,0.5
53,0.05,1,0.3,0.05,1
54,0.05,1,0.3,0.05,2
55,0.05,1,0.3,0.1,0.5
56,0.05,1,0.3,0.1,1
57,0.05,1,0.3,0.1,2
58,0.05,1,0.3,0.4,0.5
59,0.05,1,0.3,0.4,1
60,0.05,1,0.3,0.4,2
61,0.05,1,0.6,0.025,0.5
62,0.05,1,0.6,0.025,1
63,0.05,1,0.6,0.025,2
64,0.05,1,0.6,0.05,0.5
65,0.05,1,0.6,0.05,1
66,0.05,1,0.6,0.05,2
