positions,salt,strain
A7,0,MG
A8,0,MG
A9,0,MG
A10,25,MG
A11,25,MG
A12,25,MG
B7,0,dcueO
B8,0,dcueO
B9,0,dcueO
B10,25,dcueO
B11,25,dcueO
B12,25,dcueO
C7,0,dnagA
C8,0,dnagA
C9,0,dnagA
C10,25,dnagA
C11,25,dnagA
C12,25,dnagA
D7,0,dompC
D8,0,dompC
D9,0,dompC
D10,25,dompC
D11,25,dompC
D12,25,dompC
E7,12.5,MG
E8,12.5,MG
E9,12.5,MG
E10,40,MG
E11,40,MG
E12,40,MG
F7,12.5,dcueO
F8,12.5,dcueO
F9,12.5,dcueO
F10,40,dcueO
F11,40,dcueO
F12,40,dcueO
G8,12.5,dnagA
G9,12.5,dnagA
G10,40,dnagA
G11,40,dnagA
G12,40,dnagA
H8,12.5,dompC
H9,12.5,dompC
H10,40,dompC
H11,40,dompC
H12,40,dompC
